anchor_id,anchor_text,anchor_keywords,anchor_summary,target_id,target_text,target_keywords,target_summary
LR 2.1.2.c,"Human-caused climate change is already affecting many weather and climate extremes in every region across the globe. Evidence of observed changes in extremes such as heatwaves, heavy precipitation, droughts, and tropical cyclones, and, in particular, their attribution to human influence, has strengthened since AR5 . It is virtually certain that hot extremes (including heatwaves) have become more frequent and more intense across most land regions since the 1950s , while cold extremes (including cold waves) have become less frequent and less severe, with high confidence that human-caused climate change is the main driver of these changes. Marine heatwaves have approximately doubled in frequency since the 1980s , and human influence has very likely contributed to most of them since at least 2006. The frequency and intensity of heavy precipitation events have increased since the 1950s over most land areas for which observational data are sufficient for trend analysis , and human-caused climate change is likely the main driver . Human-caused climate change has contributed to increases in agricultural and ecological droughts in some regions due to increased land evapotranspiration  . It is likely that the global proportion of major (Category 3–5) tropical cyclone occurrence has increased over the last four decades. ",,,WGI SPM A.3,"Human-induced climate change is already affecting many weather and climate extremes in every region across the globe. Evidence of observed changes in extremes such as heatwaves, heavy precipitation, droughts, and tropical cyclones, and, in particular, their attribution to human influence, has strengthened since AR5.  ",,
LR 2.1.2.g,"In urban settings, climate change has caused adverse impacts on human health, livelihoods and key infrastructure . Hot extremes including heatwaves have intensified in cities , where they have also worsened air pollution events  and limited functioning of key infrastructure . Urban infrastructure, including transportation, water, sanitation and energy systems have been compromised by extreme and slow-onset events22, with resulting economic losses, disruptions of services and impacts to well-being . Observed impacts are concentrated amongst economically and socially marginalised urban residents, e.g., those living in informal settlements . Cities intensify human-caused warming locally , while urbanisation also increases mean and heavy precipitation over and/or downwind of cities  and resulting runoff intensity . ",,,WGI SPM C.2.6,"Cities intensify human-induced warming locally, and further urbanization together with more frequent hot extremes will increase the severity of heatwaves . Urbanization also increases mean and heavy precipitation over and/or downwind of cities  and resulting runoff intensity . In coastal cities, the combination of more frequent extreme sea level events (due to sea level rise and storm surge) and extreme rainfall/ riverflow events will make flooding more probable . ",,
LR 2.1.2.i,"Human influence has likely increased the chance of compound extreme events23since the 1950s. Concurrent and repeated climate hazards have occurred in all regions, increasing impacts and risks to health, ecosystems, infrastructure, livelihoods and food . Compound extreme events include increases in the frequency of concurrent heatwaves and droughts ; fire weather in some regions ; and compound flooding in some locations . Multiple risks interact, generating new sources of vulnerability to climate hazards, and compounding overall risk . Compound climate hazards can overwhelm adaptive capacity and substantially increase damage . ",,,WGI SPM A.3.5,"Human influence has likely increased the chance of compound extreme events18since the 1950s. This includes increases in the frequency of concurrent heatwaves and droughts on the global scale , fire weather in some regions of all inhabited continents , and compound flooding in some locations . ",,
LR 2.1.2.j,"Economic impacts attributable to climate change are increasingly affecting peoples' livelihoods and are causing economic and societal impacts across national boundaries .Economic damages from climate change have been detected in climate-exposed sectors, with regional effects to agriculture, forestry, fishery, energy, and tourism, and through outdoor labour productivity  with some exceptions of positive impacts in regions with low energy demand and comparative advantages in agricultural markets and tourism . Individual livelihoods have been affected through changes in agricultural productivity, impacts on human health and food security, destruction of homes and infrastructure, and loss of property and income, with adverse effects on gender and social equity . Tropical cyclones have reduced economic growth in the short-term . Event attribution studies and physical understanding indicate that human-caused climate change increases heavy precipitation associated with tropical cyclones . Wildfires in many regions have affected built assets, economic activity, and health (medium to high confidence). In cities and settlements, climate impacts to key infrastructure are leading to losses and damages across water and food systems, and affect economic activity, with impacts extending beyond the area directly impacted by the climate hazard . ",,,WGI SPM A.3.4,"It is likely that the global proportion of major (Category 3–5) tropical cyclone occurrence has increased over the last four decades, and it is very likely that the latitude where tropical cyclones in the western North Pacific reach their peak intensity has shifted northward; these changes cannot be explained by internal variability alone . There is low confidence in long-term (multi-decadal to centennial) trends in the frequency of all-category tropical cyclones. Event attribution studies and physical understanding indicate that human-induced climate change increases heavy precipitation associated with tropical cyclones , but data limitations inhibit clear detection of past trends on the global scale. ",,
LR 3.1.1.b,"Future warming depends on future greenhouse gas (GHG) emissions, with cumulative net CO2 dominating. The assessed best estimates and very likely ranges of warming for 2081–2100 with respect to 1850–1900 vary from 1.4°C [1.0-1.8°C] in the very low GHG emissions scenario (SSP1-1.9) to 2.7°C [2.1°C–3.5°C] in the intermediate GHG emissions scenario (SSP2-4.5) and 4.4°C [3.3°C–5.7°C] in the very high GHG emissions scenario (SSP5-8.5)56.  (Cross-Section Box.2, Figure 1)",,,WGI SPM B.1.1,"Compared to 1850–1900, global surface temperature averaged over 2081–2100 is very likely to be higher by 1.0°C to 1.8°C under the very low GHG emissions scenario considered (SSP1-1.9), by 2.1°C to 3.5°C in the intermediate GHG emissions scenario (SSP2-4.5) and by 3.3°C to 5.7°C under the very high GHG emissions scenario (SSP5-8.5).24The last time global surface temperature was sustained at or above 2.5°C higher than 1850–1900 was over 3 million years ago .  (Table SPM.1)",,
LR 3.1.1.e,"Deep, rapid and sustained reductions in GHG emissions would lead to improvements in air quality within a few years, to reductions in trends of global surface temperature discernible after around 20 years, and over longer time periods for many other climate impact-drivers58. Targeted reductions of air pollutant emissions lead to more rapid improvements in air quality compared to reductions in GHG emissions only, but in the long term, further improvements are projected in scenarios that combine efforts to reduce air pollutants as well as GHG emissions 59.  (Table 3.1, Cross-Section Box 2, Figure 1)",,,WGI SPM B.1,Global surface temperature will continue to increase until at least mid-century under all emissions scenarios considered. Global warming of 1.5°C and 2°C will be exceeded during the 21st century unless deep reductions in CO2and other greenhouse gas emissions occur in the coming decades.  ,,
LR 3.1.1.e,"Deep, rapid and sustained reductions in GHG emissions would lead to improvements in air quality within a few years, to reductions in trends of global surface temperature discernible after around 20 years, and over longer time periods for many other climate impact-drivers58. Targeted reductions of air pollutant emissions lead to more rapid improvements in air quality compared to reductions in GHG emissions only, but in the long term, further improvements are projected in scenarios that combine efforts to reduce air pollutants as well as GHG emissions 59.  (Table 3.1, Cross-Section Box 2, Figure 1)",,, WGI SPM B.1.3,"Global warming of 1.5°C relative to 1850–1900 would be exceeded during the 21st century under the intermediate, high and very high GHG emissions scenarios considered in this report (SSP2-4.5, SSP3-7.0 and SSP5-8.5, respectively). Under the five illustrative scenarios, in the near term (2021–2040), the 1.5°C global warming level is very likely to be exceeded under the very high GHG emissions scenario (SSP5-8.5), likely to be exceeded under the intermediate and high GHG emissions scenarios (SSP2-4.5 and SSP3-7.0), more likely than not to be exceeded under the low GHG emissions scenario (SSP1-2.6) and more likely than not to be reached under the very low GHG emissions scenario (SSP1-1.9).27Furthermore, for the very low GHG emissions scenario (SSP1-1.9), it is more likely than not that global surface temperature would decline back to below 1.5°C toward the end of the 21st century, with a temporary overshoot of no more than 0.1°C above 1.5°C global warming.  (Table SPM.1, Figure SPM.4)",,
LR 3.1.1.e,"Deep, rapid and sustained reductions in GHG emissions would lead to improvements in air quality within a few years, to reductions in trends of global surface temperature discernible after around 20 years, and over longer time periods for many other climate impact-drivers58. Targeted reductions of air pollutant emissions lead to more rapid improvements in air quality compared to reductions in GHG emissions only, but in the long term, further improvements are projected in scenarios that combine efforts to reduce air pollutants as well as GHG emissions 59.  (Table 3.1, Cross-Section Box 2, Figure 1)",,, WGI SPM D.1,"From a physical science perspective, limiting human-induced global warming to a specific level requires limiting cumulative CO2emissions, reaching at least net zero CO2emissions, along with strong reductions in other greenhouse gas emissions. Strong, rapid and sustained reductions in CH4emissions would also limit the warming effect resulting from declining aerosol pollution and would improve air quality.  ",,
LR 3.1.1.e,"Deep, rapid and sustained reductions in GHG emissions would lead to improvements in air quality within a few years, to reductions in trends of global surface temperature discernible after around 20 years, and over longer time periods for many other climate impact-drivers58. Targeted reductions of air pollutant emissions lead to more rapid improvements in air quality compared to reductions in GHG emissions only, but in the long term, further improvements are projected in scenarios that combine efforts to reduce air pollutants as well as GHG emissions 59.  (Table 3.1, Cross-Section Box 2, Figure 1)",,, WGI SPM D.2,"Scenarios with very low or low GHG emissions (SSP1-1.9 and SSP1-2.6) lead within years to discernible effects on greenhouse gas and aerosol concentrations and air quality, relative to high and very high GHG emissions scenarios (SSP3-7.0 or SSP5-8.5). Under these contrasting scenarios, discernible differences in trends of global surface temperature would begin to emerge from natural variability within around 20 years, and over longer time periods for many other climatic impact-drivers .  ",,
LR 3.1.1.f,"Changes in short-lived climate forcers (SLCF) resulting from the five considered scenarios lead to an additional net global warming in the near and long term . Simultaneous stringent climate change mitigation and air pollution control policies limit this additional warming and lead to strong benefits for air quality . In high and very high GHG emissions scenarios (SSP3-7.0 and SSP5-8.5), combined changes in SLCF emissions, such as CH4, aerosol and ozone precursors, lead to a net global warming by 2100 of likely 0.4°C–0.9°C relative to 2019. This is due to projected increases in atmospheric concentration of CH4, tropospheric ozone, hydrofluorocarbons and, when strong air pollution control is considered, reductions of cooling aerosols. In low and very low GHG emissions scenarios (SSP1- 1.9 and SSP1-2.6), air pollution control policies, reductions in CH4 and other ozone precursors lead to a net cooling, whereas reductions in anthropogenic cooling aerosols lead to a net warming . Altogether, this causes a likely net warming of 0.0°C–0.3°C due to SLCF changes in 2100 relative to 2019 and strong reductions in global surface ozone and particulate matter .  (CSB.2)",,,WGI SPM D.1.7,"In the five illustrative scenarios, simultaneous changes in CH4, aerosol and ozone precursor emissions, which also contribute to air pollution, lead to a net global surface warming in the near and long term . In the long term, this net warming is lower in scenarios assuming air pollution controls combined with strong and sustained CH4emissions reductions . In the low and very low GHG emissions scenarios, assumed reductions in anthropogenic aerosol emissions lead to a net warming, while reductions in CH4and other ozone precursor emissions lead to a net cooling. Because of the short lifetime of both CH4 and aerosols, these climate effects partially counterbalance each other, and reductions in CH4emissions also contribute to improved air quality by reducing global surface ozone (high confidence).  ",,
LR 3.1.1.g,"Continued GHG emissions will further affect all major climate system components, and many changes will be irreversible on centennial to millennial time scales. Many changes in the climate system become larger in direct relation to increasing global warming. With every additional increment of global warming, changes in extremes continue to become larger. Additional warming will lead to more frequent and intense marine heatwaves and is projected to further amplify permafrost thawing and loss of seasonal snow cover, glaciers, land ice and Arctic sea ice . Continued global warming is projected to further intensify the global water cycle, including its variability, global monsoon precipitation60, and very wet and very dry weather and climate events and seasons . The portion of global land experiencing detectable changes in seasonal mean precipitation is projected to increase  with more variable precipitation and surface water flows over most land regions within seasons  and from year to year . Many changes due to past and future GHG emissions are irreversible61on centennial to millennial time scales, especially in the ocean, ice sheets and global sea level (see 3.1.3). Ocean acidification (virtually certain), ocean deoxygenation  and global mean sea level (virtually certain) will continue to increase in the 21st century, at rates dependent on future emissions.  ",,,WGI SPM B.2,"Many changes in the climate system become larger in direct relation to increasing global warming. They include increases in the frequency and intensity of hot extremes, marine heatwaves, heavy precipitation, and, in some regions, agricultural and ecological droughts; an increase in the proportion of intense tropical cyclones; and reductions in Arctic sea ice, snow cover and permafrost.  ",,
LR 3.1.1.g,"Continued GHG emissions will further affect all major climate system components, and many changes will be irreversible on centennial to millennial time scales. Many changes in the climate system become larger in direct relation to increasing global warming. With every additional increment of global warming, changes in extremes continue to become larger. Additional warming will lead to more frequent and intense marine heatwaves and is projected to further amplify permafrost thawing and loss of seasonal snow cover, glaciers, land ice and Arctic sea ice . Continued global warming is projected to further intensify the global water cycle, including its variability, global monsoon precipitation60, and very wet and very dry weather and climate events and seasons . The portion of global land experiencing detectable changes in seasonal mean precipitation is projected to increase  with more variable precipitation and surface water flows over most land regions within seasons  and from year to year . Many changes due to past and future GHG emissions are irreversible61on centennial to millennial time scales, especially in the ocean, ice sheets and global sea level (see 3.1.3). Ocean acidification (virtually certain), ocean deoxygenation  and global mean sea level (virtually certain) will continue to increase in the 21st century, at rates dependent on future emissions.  ",,, WGI SPM B.2.2,"With every additional increment of global warming, changes in extremes continue to become larger. For example, every additional 0.5°C of global warming causes clearly discernible increases in the intensity and frequency of hot extremes, including heatwaves (very likely), and heavy precipitation , as well as agricultural and ecological droughts30in some regions . Discernible changes in intensity and frequency of meteorological droughts, with more regions showing increases than decreases, are seen in some regions for every additional 0.5°C of global warming . Increases in frequency and intensity of hydrological droughts become larger with increasing global warming in some regions . There will be an increasing occurrence of some extreme events unprecedented in the observational record with additional global warming, even at 1.5°C of global warming. Projected percentage changes in frequency are larger for rarer events .  ",,
