,file_path,sentence,section
12,/Users/pm286/projects/semanticClimate/climate_justice/PMC7648241/sections/1_front/1_article-meta/17_abstract.xml,It opens the way for a new normative commitment of science in a time of crises.,ABS
13,/Users/pm286/projects/semanticClimate/climate_justice/PMC7648241/sections/1_front/1_article-meta/17_abstract.xml,"We suggest three agendas for future climate and sustainability research after the pandemic: (1) focus on health and well-being, (2) moral engagement through empathy, and (3) science of loss for managing grief.",ABS
14,/Users/pm286/projects/semanticClimate/climate_justice/PMC8577394/sections/1_front/1_article-meta/11_abstract.xml,This article provides an explanation for how increased public participation can paradoxically translate into limited democratic decision-making in urban settings.,ABS
15,/Users/pm286/projects/semanticClimate/climate_justice/PMC8577394/sections/1_front/1_article-meta/11_abstract.xml,Recent sociological research shows how governments can control participatory forums to restrict the distribution of resources to poor neighborhoods or to advance private land development interests.,ABS
16,/Users/pm286/projects/semanticClimate/climate_justice/PMC8577394/sections/1_front/1_article-meta/11_abstract.xml,"Yet such explanations cannot account for the decoupling of participation from democratic decision-making in the case of planning for climate change, which expands the substantive topics and public funding decisions that involve urban residents.",ABS
17,/Users/pm286/projects/semanticClimate/climate_justice/PMC8577394/sections/1_front/1_article-meta/11_abstract.xml,"Through an in-depth case study of one of the largest coastal protection projects in the world and drawing on global scholarship on participation, this article narrates the social production of resistance to climate change infrastructure by showing how the state sidestepped public input and exercised authority through appeals to the rationality of technical expertise.",ABS
18,/Users/pm286/projects/semanticClimate/climate_justice/PMC8577394/sections/1_front/1_article-meta/11_abstract.xml,"After a lengthy participation process wherein participants reported satisfaction with how their input was included in designs, city officials switched decision-making styles and used expertise from engineers to render the publicly-supported plan unfeasible, while continuing to involve residents in the process.",ABS
19,/Users/pm286/projects/semanticClimate/climate_justice/PMC8577394/sections/1_front/1_article-meta/11_abstract.xml,"As a result, conflict arose between activists and public housing representatives, bitterly dividing the neighborhood over who could legitimately claim to represent the interests of the “frontline community.” By documenting the experience of participants in the process before and after the switch in decision-making styles, this article advances a sociological description of public  influence  in policy: The ability for participants in a planning process to recognize their own input reflected in finished plans.",ABS
20,/Users/pm286/projects/semanticClimate/climate_justice/PMC9465672/sections/1_front/1_article-meta/15_abstract.xml,"Guinea-Bissau remains among the African countries most vulnerable to climate change due to its flat topography and large meandering coastal area invaded by the tides.We present a case study of the island-village of Djobel, showing the dramatic consequences of socio-environmental change.",ABS
21,/Users/pm286/projects/semanticClimate/climate_justice/PMC9465672/sections/1_front/1_article-meta/15_abstract.xml,The inhabitants attempts to mitigate the impact of extreme weather events and sea-level rise and adapt to the new circumstances have been hampered by the seizure of their upland territory by a neighboring village.,ABS
22,/Users/pm286/projects/semanticClimate/climate_justice/PMC9465672/sections/1_front/1_article-meta/15_abstract.xml,"In the context of a disconnect between state and society, Djobels inhabitants want the state to guarantee their rights to productive land, water, and safe housing conditions.",ABS
23,/Users/pm286/projects/semanticClimate/climate_justice/PMC9465672/sections/1_front/1_article-meta/15_abstract.xml,"This case shows the need for legal protection of the rights of poor, marginalized, and underrepresented populations at risk of becoming climate refugees in the fragile context of politically unstable, failed, and often authoritarian states.",ABS
24,/Users/pm286/projects/semanticClimate/climate_justice/PMC9265347/sections/1_front/1_article-meta/26_abstract.xml,"Introduction:  School-based programmes may promote knowledge and skills required to address climate change and better health and well-being in adolescents, yet evidence of their effectiveness is limited.",ABS
25,/Users/pm286/projects/semanticClimate/climate_justice/PMC9265347/sections/1_front/1_article-meta/26_abstract.xml,"In preparation for evaluating the Public Climate School, a school-based intervention to promote climate awareness and action in adolescents, we conduct a pilot study intended to assess procedures for participant recruitment, retention, and data collection, data quality issues and to provide preliminary parameter estimates to guide sample size calculations.",ABS
26,/Users/pm286/projects/semanticClimate/climate_justice/PMC9265347/sections/1_front/1_article-meta/26_abstract.xml,"Methods and analysis:  This unblinded, cluster-controlled pilot study targets students in twelve classes from grades seven to thirteen in German public schools.",ABS
27,/Users/pm286/projects/semanticClimate/climate_justice/PMC9265347/sections/1_front/1_article-meta/26_abstract.xml,"Seven and five classes were allocated to the intervention and waitlist control arms, respectively.",ABS
28,/Users/pm286/projects/semanticClimate/climate_justice/PMC9265347/sections/1_front/1_article-meta/26_abstract.xml,"The intervention consisted of (1) live lessons on YouTube, (2) climate-related challenges of the day, (3) workshops and (4) peer exchange sessions.",ABS
29,/Users/pm286/projects/semanticClimate/climate_justice/PMC9265347/sections/1_front/1_article-meta/26_abstract.xml,Waitlist control classes participated three weeks later.,ABS
30,/Users/pm286/projects/semanticClimate/climate_justice/PMC9265347/sections/1_front/1_article-meta/26_abstract.xml,"Measures included the proportion of students completing baseline and follow-up surveys, a comparison of baseline characteristics between students in the retained subsample and those lost to follow-up, proportions of students completing online and paper–pencil-based surveys and problems during data collection based on information reported by teachers.",ABS
31,/Users/pm286/projects/semanticClimate/climate_justice/PMC9265347/sections/1_front/1_article-meta/26_abstract.xml,"Data quality was assessed as proportions of missing data, associations between missingness and sociodemographic measures using logistic regression models and basic psychometric properties of scales including ceiling effects and internal consistency.",ABS
32,/Users/pm286/projects/semanticClimate/climate_justice/PMC9265347/sections/1_front/1_article-meta/26_abstract.xml,"Intentions to reduce one’s ecological footprint, the primary outcome, and all secondary outcomes for effect estimation were assessed one week pre- and post-intervention from November to December 2021 using items adapted from internationally used instruments and will be investigated using generalised linear mixed models and intention-to-treat analyses.",ABS
33,/Users/pm286/projects/semanticClimate/climate_justice/PMC9265347/sections/1_front/1_article-meta/26_abstract.xml,Conclusions:  The pilot study will lay the methodological groundwork for a large-scale cluster-randomised effectiveness and process evaluation of the Public Climate School.,ABS
34,/Users/pm286/projects/semanticClimate/climate_justice/PMC9265347/sections/1_front/1_article-meta/26_abstract.xml,"If proven effective and rolled out more broadly, the Public Climate School has the potential to contribute meaningfully to national climate mitigation and adaptation efforts by reaching a substantial share of adolescents in public schools, including those traditionally less involved in climate action.",ABS
35,/Users/pm286/projects/semanticClimate/climate_justice/PMC9461415/sections/1_front/1_article-meta/14_abstract.xml,"Amidst the uncertainties of a climate emergency scenario, sustainable and counter-hegemonic alternatives of social and productive organization are being developed by several grassroots local communities.",ABS
36,/Users/pm286/projects/semanticClimate/climate_justice/PMC9461415/sections/1_front/1_article-meta/14_abstract.xml,"Thus, this essay aims to critically discuss the role of ecovillages within the  pluriverse  of community-led alternatives, understood as a plural set of socially and environmentally transformative possibilities.",ABS
37,/Users/pm286/projects/semanticClimate/climate_justice/PMC9461415/sections/1_front/1_article-meta/14_abstract.xml,"Adopting a decolonial perspective, this study was carried out through an exploratory qualitative approach, based on a bibliographic and documentary survey.",ABS
38,/Users/pm286/projects/semanticClimate/climate_justice/PMC9461415/sections/1_front/1_article-meta/14_abstract.xml,"According to the adopted premises, it is possible to recognize that communal territorial innovations, as illustrated by ecovillages’ practices, may expand the horizon of solutions to face contemporary multiple crises.",ABS
39,/Users/pm286/projects/semanticClimate/climate_justice/PMC9461415/sections/1_front/1_article-meta/14_abstract.xml,"In line with the Paris Agreement and the 2030 Agenda, confluences between diverse community-led alternatives can contribute to deconstruct rooted development premises and to potentialize climate actions toward a just and sustainable transition, in tune with the triune dimensions of cultural identity, social equity, and ecological sustainability of the  Buen Vivir  communal ethics.",ABS
40,/Users/pm286/projects/semanticClimate/climate_justice/PMC9461415/sections/1_front/1_article-meta/14_abstract.xml,Graphical abstract,ABS
41,/Users/pm286/projects/semanticClimate/climate_justice/PMC8482180/sections/1_front/1_article-meta/23_abstract.xml,"Background Despite having the tools at our disposal to enable an adequate food supply for all people, inequities in food acquisition, distribution, and most importantly, food sovereignty, worsen food insecurity.",ABS
42,/Users/pm286/projects/semanticClimate/climate_justice/PMC8482180/sections/1_front/1_article-meta/23_abstract.xml,The detrimental impact of climate change on food systems and mental health is further exacerbated by a lack of food sovereignty.,ABS
43,/Users/pm286/projects/semanticClimate/climate_justice/PMC8482180/sections/1_front/1_article-meta/23_abstract.xml,"We urgently require innovative solutions to enable food sovereignty, minimize food insecurity, and address climate change–related mental distress (ie, solastalgia).",ABS
44,/Users/pm286/projects/semanticClimate/climate_justice/PMC8482180/sections/1_front/1_article-meta/23_abstract.xml,Indigenous communities have a wealth of Traditional Knowledge for climate change adaptation and preparedness to strengthen food systems.,ABS
45,/Users/pm286/projects/semanticClimate/climate_justice/PMC8482180/sections/1_front/1_article-meta/23_abstract.xml,"Traditional Knowledge combined with Western methods can revolutionize ethical data collection, engagement, and knowledge mobilization.",ABS
46,/Users/pm286/projects/semanticClimate/climate_justice/PMC8482180/sections/1_front/1_article-meta/23_abstract.xml,"Objective The Food Equity and Environmental Data Sovereignty (FEEDS) Project takes a participatory action, citizen science approach for early detection and warning of climate change impacts on food sovereignty, food security, and solastalgia.",ABS
47,/Users/pm286/projects/semanticClimate/climate_justice/PMC8482180/sections/1_front/1_article-meta/23_abstract.xml,The aim of this project is to develop and implement a sustainable digital platform that enables real-time decision-making to mitigate climate change–related impacts on food systems and mental well-being.,ABS
48,/Users/pm286/projects/semanticClimate/climate_justice/PMC8482180/sections/1_front/1_article-meta/23_abstract.xml,Methods Citizen science enables citizens to actively contribute to all aspects of the research process.,ABS
49,/Users/pm286/projects/semanticClimate/climate_justice/PMC8482180/sections/1_front/1_article-meta/23_abstract.xml,"The FEEDS Project is being implemented in five phases: participatory project planning, digital climate change platform customization, community-led evaluation, digital platform and project refinement, and integrated knowledge translation.",ABS
50,/Users/pm286/projects/semanticClimate/climate_justice/PMC8482180/sections/1_front/1_article-meta/23_abstract.xml,"The project is governed by a Citizen Scientist Advisory Council comprising Elders, Traditional Knowledge Keepers, key community decision makers, youth, and FEEDS Project researchers.",ABS
51,/Users/pm286/projects/semanticClimate/climate_justice/PMC8482180/sections/1_front/1_article-meta/23_abstract.xml,"The Council governs all phases of the project, including coconceptualizing a climate change platform, which consists of a smartphone app and a digital decision-making dashboard.",ABS
52,/Users/pm286/projects/semanticClimate/climate_justice/PMC8482180/sections/1_front/1_article-meta/23_abstract.xml,"Apart from capturing environmental and health-related big data (eg, weather, permafrost degradation, fire hazards, and human movement), the custom-built app uses artificial intelligence to engage and enable citizens to report on environmental hazards, changes in biodiversity or wildlife, and related food and mental health issues in their communities.",ABS
53,/Users/pm286/projects/semanticClimate/climate_justice/PMC8482180/sections/1_front/1_article-meta/23_abstract.xml,The app provides citizens with valuable information to mitigate health-related risks and relays big data in real time to a digital dashboard.,ABS
54,/Users/pm286/projects/semanticClimate/climate_justice/PMC8482180/sections/1_front/1_article-meta/23_abstract.xml,"Results This project is currently in phase 1, with the subarctic Métis jurisdiction of Île-à-la-Crosse, Saskatchewan, Canada.",ABS
55,/Users/pm286/projects/semanticClimate/climate_justice/PMC8482180/sections/1_front/1_article-meta/23_abstract.xml,"Conclusions The FEEDS Project facilitates Indigenous Peoples’ self-determination, governance, and data sovereignty.",ABS
56,/Users/pm286/projects/semanticClimate/climate_justice/PMC8482180/sections/1_front/1_article-meta/23_abstract.xml,"All citizen data are anonymous and encrypted, and communities have ownership, access, control, and possession of their data.",ABS
57,/Users/pm286/projects/semanticClimate/climate_justice/PMC8482180/sections/1_front/1_article-meta/23_abstract.xml,"The digital dashboard system provides decision makers with real-time data, thereby increasing the capacity to self-govern.",ABS
58,/Users/pm286/projects/semanticClimate/climate_justice/PMC8482180/sections/1_front/1_article-meta/23_abstract.xml,"The participatory action research approach, combined with digital citizen science, advances the cocreation of knowledge and multidisciplinary collaboration in the digital age.",ABS
59,/Users/pm286/projects/semanticClimate/climate_justice/PMC8482180/sections/1_front/1_article-meta/23_abstract.xml,"Given the urgency of climate change, leveraging technology provides communities with tools to respond to existing and emerging crises in a timely manner, as well as scientific evidence regarding the urgency of current health and environmental issues.",ABS
60,/Users/pm286/projects/semanticClimate/climate_justice/PMC8482180/sections/1_front/1_article-meta/23_abstract.xml,International Registered Report Identifier (IRRID) PRR1-10.2196/31389,ABS
61,/Users/pm286/projects/semanticClimate/climate_justice/PMC8741530/sections/1_front/1_article-meta/15_abstract.xml,This article offers a novel understanding of China’s changing engagement in global climate governance over the past decade.,ABS
62,/Users/pm286/projects/semanticClimate/climate_justice/PMC8741530/sections/1_front/1_article-meta/15_abstract.xml,"This article argues that China has embedded the construction of its international identity, which has been transforming towards what this article conceptualizes to be a ‘Yinling leading power’, in promoting and leading global climate governance.",ABS
63,/Users/pm286/projects/semanticClimate/climate_justice/PMC8741530/sections/1_front/1_article-meta/15_abstract.xml,"China’s transforming identity construction has contributed to changing its construction of climate justice and led China to proactively undertake more responsibilities, provide international public goods and promote international climate cooperation.",ABS
64,/Users/pm286/projects/semanticClimate/climate_justice/PMC8741530/sections/1_front/1_article-meta/15_abstract.xml,"Global climate governance has become one of China’s prototypical discursive frames in constructing its new international identity, an important platform where China seeks to share leadership with other major powers and the climate leadership in turn constitutes China’s new identity.",ABS
65,/Users/pm286/projects/semanticClimate/climate_justice/PMC8741530/sections/1_front/1_article-meta/15_abstract.xml,"However, China’s inadequate response to international expectations and lack of self-reflection in its climate policy have influenced international recognition on its climate leadership and new identity.",ABS
66,/Users/pm286/projects/semanticClimate/climate_justice/PMC8741530/sections/1_front/1_article-meta/15_abstract.xml,"In general, China’s transforming identity construction and its reconstruction of climate justice have far-reaching implications for China and Europe to cooperate and coordinate in strengthening global climate justice and promoting global climate governance.",ABS
67,/Users/pm286/projects/semanticClimate/climate_justice/PMC8626747/sections/1_front/1_article-meta/15_abstract.xml,"Climate change has been socially constructed crisscrossed by public and private interests, asymmetries and world-view conflicts.",ABS
68,/Users/pm286/projects/semanticClimate/climate_justice/PMC8626747/sections/1_front/1_article-meta/15_abstract.xml,"When it comes to the legitimacy of norms to address the complexities of social conditions of vulnerability and effective actions to fulfil distributive and climate justice principles, climate change still faces a discrepancy between political announcements and incongruous practices of international actors.",ABS
69,/Users/pm286/projects/semanticClimate/climate_justice/PMC8626747/sections/1_front/1_article-meta/15_abstract.xml,"While analysing the cases of China and the European Union, we point out contradictions stemming from their policy goals guided by strategic interests.",ABS
70,/Users/pm286/projects/semanticClimate/climate_justice/PMC8626747/sections/1_front/1_article-meta/15_abstract.xml,"From a global climate justice perspective, we analyze recent power dynamics that operate at two levels: first, economic relations and negotiations between Brazil and the two poles of power, considering the scenario of socio-environmental injustice and climate insecurity; second, policy practices of both global players in climate governance, bearing in mind the notions of climate justice and development as conceptual guides to understand when and where contradictions emerge.",ABS
71,/Users/pm286/projects/semanticClimate/climate_justice/PMC8626747/sections/1_front/1_article-meta/15_abstract.xml,"To do so, this article is structured around three sections: (i) a brief historical account of China’s and the EU’s roles in international climate policy; (ii) their legacies in climate governance and the inextricable relationship between their normative behaviour and their development objectives; (iii) an overview of the signing of the strategic memorandum of understanding for economic and trade agreement between Mercosur and the EU in 2019, as well as Sino-Brazilian relations facilitating investments and trade in multiple segments vis-à-vis the most recent multifaceted backlash in Brazil’s socio-environmental and climate policies.",ABS
72,/Users/pm286/projects/semanticClimate/climate_justice/PMC7826151/sections/1_front/1_article-meta/14_abstract.xml,"Once dominated by a focus on collecting and preserving, and later communicating science through hands-on experiences, science museums are slowly reshaping their identities and purposes to explicitly include and promote active citizenship, social responsibility, engagement with complex science and technology issues, and agency.",ABS
73,/Users/pm286/projects/semanticClimate/climate_justice/PMC7826151/sections/1_front/1_article-meta/14_abstract.xml,"Informed by progressive views of scientific literacy and dialogic and participatory models of communication, science museums are beginning to re-imagine their spaces and practices to embrace broader goals.",ABS
74,/Users/pm286/projects/semanticClimate/climate_justice/PMC7826151/sections/1_front/1_article-meta/14_abstract.xml,"This theoretical paper explores and discusses the changing roles and identities of these institutions through the emergence of what we identify as  fourth-generation science museums  and their six defining drivers (Pedretti & Navas Iannini,  2020 ).",ABS
75,/Users/pm286/projects/semanticClimate/climate_justice/PMC7826151/sections/1_front/1_article-meta/14_abstract.xml,We argue science museums can become places that (1) embrace change and transformation; (2) promote productive struggle; (3) develop allyship; (4) foster empathy; (5) support epistemic democracy; and (6) act as a hybrid third space.,ABS
76,/Users/pm286/projects/semanticClimate/climate_justice/PMC8022441/sections/0_front/1_article-meta/13_abstract.xml,By understanding populism as an “anti-” politics we can see two strands of populism: the  anti -democratic strand which marginalizes certain groups of people and the anti-structural injustice strand coming from marginalized people.,ABS
77,/Users/pm286/projects/semanticClimate/climate_justice/PMC8022441/sections/0_front/1_article-meta/13_abstract.xml,"The potential of this anti-structural injustice activism encourages activists to expand their coalitional politics and government and philanthropic donors to see the import of funding and otherwise supporting work against structural injustice that explicitly takes on patriarchy and racism, among the full gamut of ideologies based on hierarchy and injustice.",ABS
78,/Users/pm286/projects/semanticClimate/climate_justice/PMC8763867/sections/1_front/1_article-meta/14_abstract.xml,"Introduction Physicians are increasingly being called on to address inequities created by social and structural determinants of health, yet few receive training in specific leadership skills that allow them to do so effectively.",ABS
79,/Users/pm286/projects/semanticClimate/climate_justice/PMC8763867/sections/1_front/1_article-meta/14_abstract.xml,Methods We developed a workshop to introduce incoming medical interns from all specialties at Boston-area residency programs to community organizing as a framework for effective physician advocacy.,ABS
80,/Users/pm286/projects/semanticClimate/climate_justice/PMC8763867/sections/1_front/1_article-meta/14_abstract.xml,"We utilized didactic sessions, video examples, and small-group practice led by trained coaches to familiarize participants with one community organizing leadership skill—public narrative—as a means of creating the relationships that underlie collective action.",ABS
81,/Users/pm286/projects/semanticClimate/climate_justice/PMC8763867/sections/1_front/1_article-meta/14_abstract.xml,"We offered this 3-hour, cross-institutional workshop just prior to intern orientation and evaluated it through a postworkshop survey.",ABS
82,/Users/pm286/projects/semanticClimate/climate_justice/PMC8763867/sections/1_front/1_article-meta/14_abstract.xml,"Results In June 2019, 51 residents from 13 programs at seven academic medical centers attended this workshop.",ABS
83,/Users/pm286/projects/semanticClimate/climate_justice/PMC8763867/sections/1_front/1_article-meta/14_abstract.xml,"In the postworkshop survey, participants agreed with positive evaluative statements about the workshops value and impact on their knowledge, with a mean score on all items of over 4 (5-point Likert scale, 1 =  strongly disagree , 5 =  strongly agree ; response rate: 34 of 51).",ABS
84,/Users/pm286/projects/semanticClimate/climate_justice/PMC8763867/sections/1_front/1_article-meta/14_abstract.xml,"Free-text comments emphasized the workshops effectiveness in evoking positive feelings of solidarity, community, and professional identity.",ABS
85,/Users/pm286/projects/semanticClimate/climate_justice/PMC8763867/sections/1_front/1_article-meta/14_abstract.xml,"Discussion The workshop effectively introduced participants to community organizing and public narrative, allowed them to apply the principles of public narrative by developing their own stories of self, and demonstrated how these practices can be utilized in physician advocacy.",ABS
86,/Users/pm286/projects/semanticClimate/climate_justice/PMC8763867/sections/1_front/1_article-meta/14_abstract.xml,The workshop also connected participants to their motivations for pursuing medicine and stimulated interest in more community organizing training.,ABS
87,/Users/pm286/projects/semanticClimate/climate_justice/PMC9566374/sections/1_front/1_article-meta/23_abstract.xml,The consequences of climate change are becoming increasingly evident and highlight the important interdependence between the well-being of people and ecosystems.,ABS
88,/Users/pm286/projects/semanticClimate/climate_justice/PMC9566374/sections/1_front/1_article-meta/23_abstract.xml,"Although climate change is a global phenomenon, its causes and consequences vary dramatically across territories and population groups.",ABS
89,/Users/pm286/projects/semanticClimate/climate_justice/PMC9566374/sections/1_front/1_article-meta/23_abstract.xml,Among settings particularly susceptible to health impacts from climate change are cities with a Mediterranean climate.,ABS
90,/Users/pm286/projects/semanticClimate/climate_justice/PMC9566374/sections/1_front/1_article-meta/23_abstract.xml,"Here, impacts will put additional pressure on already-stressed ecosystems and vulnerable economies and societies, increasing health inequalities.",ABS
91,/Users/pm286/projects/semanticClimate/climate_justice/PMC9566374/sections/1_front/1_article-meta/23_abstract.xml,"Therefore, this article presents and discusses a conceptual framework for understanding the complex relationship between climate change and health in the context of cities with Mediterranean climate from a social and climate justice approach.",ABS
92,/Users/pm286/projects/semanticClimate/climate_justice/PMC9566374/sections/1_front/1_article-meta/23_abstract.xml,The different elements that integrate the conceptual framework are: (1) the determinants of climate change; (2) its environmental and social consequences; (3) its direct and indirect impacts on health; and (4) the role of mitigation and adaptation policies.,ABS
93,/Users/pm286/projects/semanticClimate/climate_justice/PMC9566374/sections/1_front/1_article-meta/23_abstract.xml,The model places special emphasis on the associated social and health inequalities through (1) the recognition of the role of systems of privilege and oppression; (2) the distinction between structural and intermediate determinants of climate change at the root of health inequalities; (3) the role of individual and collective vulnerability in mediating the effects of climate change on health; and (4) the need to act from a climate justice perspective to reverse health inequities.,ABS
94,/Users/pm286/projects/semanticClimate/climate_justice/PMC8355364/sections/0_front/1_article-meta/14_abstract.xml,"Student initiatives for climate justice are driving forces in the climate change debate, but the psychological determinants of students’ engagement for climate justice have hardly been investigated so far.",ABS
95,/Users/pm286/projects/semanticClimate/climate_justice/PMC8355364/sections/0_front/1_article-meta/14_abstract.xml,"For this study, we posited student engagement for climate justice to be a form of collective action and analyzed psychological determinants of collective action as well as subjective processes of change in these determinants.",ABS
96,/Users/pm286/projects/semanticClimate/climate_justice/PMC8355364/sections/0_front/1_article-meta/14_abstract.xml,"For this purpose, semi-structured interviews were conducted with four individuals who were engaged in different student initiatives.",ABS
97,/Users/pm286/projects/semanticClimate/climate_justice/PMC8355364/sections/0_front/1_article-meta/14_abstract.xml,"The results of a qualitative content analysis showed that student collective action for climate justice as reported by the respondents reinforced some of the psychological conditions of collective action established in the literature, such as collective and participatory self-efficacy expectations and feelings of fear and anger.",ABS
98,/Users/pm286/projects/semanticClimate/climate_justice/PMC8355364/sections/0_front/1_article-meta/14_abstract.xml,"We also found, however, that (first-time) participation in collective action cannot be fully explained by those known predictors.",ABS
99,/Users/pm286/projects/semanticClimate/climate_justice/PMC8355364/sections/0_front/1_article-meta/14_abstract.xml,"A sense of responsibility, awareness of problems, and extrinsic motives, such as social contact, were also conducive to participation, whereas politicized collective identities did not play a significant role.",ABS
100,/Users/pm286/projects/semanticClimate/climate_justice/PMC8355364/sections/0_front/1_article-meta/14_abstract.xml,"Finally, we discuss the results against the background of existing theoretical considerations and outline implications for further psychological study of collective action.",ABS
101,/Users/pm286/projects/semanticClimate/climate_justice/PMC7351418/sections/0_front/1_article-meta/16_abstract.xml,The energy landscape is changing dramatically.,ABS
102,/Users/pm286/projects/semanticClimate/climate_justice/PMC7351418/sections/0_front/1_article-meta/16_abstract.xml,Communities are being impacted in different ways.,ABS
103,/Users/pm286/projects/semanticClimate/climate_justice/PMC7351418/sections/0_front/1_article-meta/16_abstract.xml,Positive impacts include reductions in air pollution and new tax revenues from renewables.,ABS
104,/Users/pm286/projects/semanticClimate/climate_justice/PMC7351418/sections/0_front/1_article-meta/16_abstract.xml,Negative impacts include lost jobs and foregone tax revenues after closure of large fossil fuels generation facilities and coal mines.,ABS
105,/Users/pm286/projects/semanticClimate/climate_justice/PMC7351418/sections/0_front/1_article-meta/16_abstract.xml,The contours of this transition have been further altered by recent events such as the global oil market crash and the COVID-19 pandemic.,ABS
106,/Users/pm286/projects/semanticClimate/climate_justice/PMC7351418/sections/0_front/1_article-meta/16_abstract.xml,"While economic and social issues can be addressed through thoughtful policy design, the pace of change, and the extent to which communities have a say in what comes next, matter.",ABS
107,/Users/pm286/projects/semanticClimate/climate_justice/PMC7351418/sections/0_front/1_article-meta/16_abstract.xml,"Though the technical issues of transitions are well-researched, the socio-economic aspects of the energy transition remain both emergent and essential to an equitable transition to a low-carbon energy system.",ABS
108,/Users/pm286/projects/semanticClimate/climate_justice/PMC7351418/sections/0_front/1_article-meta/16_abstract.xml,This article provides an overview of the history and current status of just transitions.,ABS
109,/Users/pm286/projects/semanticClimate/climate_justice/PMC9269987/sections/1_front/1_article-meta/14_abstract.xml,The effects of climate change lead to increasing social injustice and hence justice is intrinsically linked to a socio-ecological transformation.,ABS
110,/Users/pm286/projects/semanticClimate/climate_justice/PMC9269987/sections/1_front/1_article-meta/14_abstract.xml,"In this study, we investigate whether justice sensitivity motivates pro-environmental intention (PEI) and behavior (PEB) and, if so, to what extent emotions and moral disengagement determine this process.",ABS
111,/Users/pm286/projects/semanticClimate/climate_justice/PMC9269987/sections/1_front/1_article-meta/14_abstract.xml,"For this purpose, we conducted two quota-sampling surveys (Study 1:  N  = 174, Study 2:  N  = 880).",ABS
112,/Users/pm286/projects/semanticClimate/climate_justice/PMC9269987/sections/1_front/1_article-meta/14_abstract.xml,"Multiple regression analyses in both studies suggest that a higher perception of injustice from a perpetrator’s, beneficiary’s, and observer’s perspective is associated with an increased PEI.",ABS
113,/Users/pm286/projects/semanticClimate/climate_justice/PMC9269987/sections/1_front/1_article-meta/14_abstract.xml,"However, moral disengagement best predicted PEB and PEI.",ABS
114,/Users/pm286/projects/semanticClimate/climate_justice/PMC9269987/sections/1_front/1_article-meta/14_abstract.xml,Guilt and authentic pride were found to be emotional predictors of PEI.,ABS
115,/Users/pm286/projects/semanticClimate/climate_justice/PMC9269987/sections/1_front/1_article-meta/14_abstract.xml,"Additionally, mediation analyses demonstrated that guilt mediates the connection between both perpetrator and beneficiary sensitivity and PEI.",ABS
116,/Users/pm286/projects/semanticClimate/climate_justice/PMC9269987/sections/1_front/1_article-meta/14_abstract.xml,"These results suggest that when the predominant originators of climate change (i.e., individuals from industrialized countries) perceive global climate injustice from the perspective of a beneficiary or a perpetrator, they experience guilt and have a higher PEI.",ABS
117,/Users/pm286/projects/semanticClimate/climate_justice/PMC9269987/sections/1_front/1_article-meta/14_abstract.xml,"Based on this mechanism, it seems promising to render global injustice more salient to those responsible for activities that lead to climate change to motivate them to adapt their behavior.",ABS
