,file_path,sentence,section,entities,labels,position_start,position_end,abbreviations,abbreviations_longform,abbreviation_start,abbreviation_end
126,/Users/pm286/projects/semanticClimate/climate_justice/PMC9411551/sections/1_front/1_article-meta/13_abstract.xml,"Climate change-attributed impacts were particularly felt in Latina/x/o neighborhoods, and especially so in Latina/x/o neighborhoods that were low-income and among those located outside of FEMA’s 100-year floodplain.",ABS,"Latina/x, FEMA","ORG, ORG","107, 188","115, 192",,,,
128,/Users/pm286/projects/semanticClimate/climate_justice/PMC9578961/sections/1_front/1_article-meta/17_abstract.xml,Highlights • Summative content analysis is performed on the UN General Assembly Resolution A/RES/69/315.,ABS,the UN General Assembly Resolution A/RES/69/315,ORG,56,103,,,,
134,/Users/pm286/projects/semanticClimate/climate_justice/PMC9578961/sections/1_front/1_article-meta/16_abstract.xml,The development agenda designs access to finance a human right and a prior strategy to achieve Sustainable Development Goals (SDGs).,ABS,Sustainable Development Goals,ORG,95,124,,,,
137,/Users/pm286/projects/semanticClimate/climate_justice/PMC9578961/sections/1_front/1_article-meta/16_abstract.xml,"To this end, summative content analysis is performed on the United Nations General Assembly Resolution A/RES/69/315 – fulfilling a research gap.",ABS,the United Nations General Assembly Resolution A/RES/69/315,ORG,56,115,,,,
139,/Users/pm286/projects/semanticClimate/climate_justice/PMC9578961/sections/1_front/1_article-meta/16_abstract.xml,"Analysing Millennium Development Goals and Sustainable Development Goals, the study also finds increased importance attributed to the topic, key issues and policy strengths and limitations.",ABS,Analysing Millennium Development Goals and Sustainable Development Goals,ORG,0,72,,,,
155,/Users/pm286/projects/semanticClimate/climate_justice/PMC8773912/sections/1_front/1_article-meta/15_abstract.xml,"Naturopathic medicine is a growing profession in North America that provides expertise in complementary and alternative, or integrative care to pediatric patients.",ABS,Naturopathic,ORG,0,12,,,,
161,/Users/pm286/projects/semanticClimate/climate_justice/PMC7190366/sections/0_front/1_article-meta/14_abstract.xml,Andrew Harmer and colleagues  argue that WHO should recognise this in the same way as global threats from specific diseases,ABS,WHO,ORG,41,44,,,,
162,/Users/pm286/projects/semanticClimate/climate_justice/PMC8624761/sections/1_front/1_article-meta/14_abstract.xml,  Anne-Sophie Jung and colleagues  argue that understanding mechanisms of response to the covid-19 pandemic as trade-offs reinforces false dichotomies and hamstrings attempts to create stronger and more equitable health systems,ABS,Anne-Sophie Jung,ORG,2,18,,,,
182,/Users/pm286/projects/semanticClimate/climate_justice/PMC9589634/sections/1_front/1_article-meta/12_abstract.xml,"But where citizens are asked to more or less blindly follow the lead of expert judgments, politics takes what Lafont (Democracy without shortcuts: a participatory conception of deliberative democracy.",ABS,Lafont (Democracy,ORG,110,127,,,,
183,/Users/pm286/projects/semanticClimate/climate_justice/PMC9589634/sections/1_front/1_article-meta/12_abstract.xml,"Oxford University Press, Oxford, 10.1093/oso/9780198848189.001.0001, 2020) calls an ‘expertocratic shortcut’.",ABS,"Oxford University Press, Oxford","ORG, ORG","0, 25","23, 31",,,,
190,/Users/pm286/projects/semanticClimate/climate_justice/PMC9299447/sections/1_front/1_article-meta/32_abstract.xml,"First Nations children and young people are particularly at risk due to loss of place, identity, culture, land and customs informed by kinship relationships with the Earth; while sustainable land use practices and connection to Country and community can enhance climate resilience.",ABS,"""First Nations""",ORG,0,14,,,,
192,/Users/pm286/projects/semanticClimate/climate_justice/PMC9299447/sections/1_front/1_article-meta/32_abstract.xml,"Climate activism can promote resilience, particularly when children and young people can emotionally engage in the climate crisis; when mental health is systemically supported; when climate communication is transparent and comprehensive; and, when activism is informed by the knowledges and wisdoms of First Nations peoples and grounded on Country.",ABS,First Nations,ORG,302,315,,,,
193,/Users/pm286/projects/semanticClimate/climate_justice/PMC9299447/sections/1_front/1_article-meta/32_abstract.xml,"This article is co‐authored by WA young people, Aboriginal and non‐Aboriginal academics, activists and practitioners engaged in youth, mental health and climate justice spaces.",ABS,"Aboriginal, non‐Aboriginal","ORG, ORG","48, 63","58, 77",,,,
195,/Users/pm286/projects/semanticClimate/climate_justice/PMC9299447/sections/1_front/1_article-meta/32_abstract.xml,"Furthermore, we support the call of Aboriginal peoples to ensure culturally appropriate, place‐based responses based in caring for Country.",ABS,"Aboriginal, Country","ORG, ORG","36, 131","46, 138",,,,
199,/Users/pm286/projects/semanticClimate/climate_justice/PMC7442765/sections/0_front/1_article-meta/15_abstract.xml,"In this study, the role of hydroclimate forcing factors (rainfall, lake evaporation, and inflowing discharge) and low frequency climate variability indicators (e.g., El Nino Southern Oscillation-ENSO and the Indian Ocean Dipole Mode-IODM) on lake level variations is investigated using a monthly mean lake level dataset from 1899 to 2017.",ABS,El Nino Southern Oscillation-ENSO,ORG,166,199,,,,
203,/Users/pm286/projects/semanticClimate/climate_justice/PMC7442765/sections/0_front/1_article-meta/15_abstract.xml,Annual maximum series (AMS) and peak over threshold (POT) analysis were conducted by fitting various candidate extreme value distributions (EVD) and parameter fitting methods.,ABS,EVD,ORG,140,143,,,,
204,/Users/pm286/projects/semanticClimate/climate_justice/PMC7442765/sections/0_front/1_article-meta/15_abstract.xml,"The Akaike information criteria (AIC), Bayesian information criteria (BIC), deviance information criteria (DIC), and likelihood ratios (RL) served as model evaluation criteria.",ABS,AIC,ORG,33,36,,,,
205,/Users/pm286/projects/semanticClimate/climate_justice/PMC7442765/sections/0_front/1_article-meta/15_abstract.xml,"Under stationary conditions, the AMS when fitted to the generalized extreme value (GEV) distribution with maximum likelihood estimation (MLE) was found to be superior to POT analysis.",ABS,"GEV, MLE","ORG, ORG","83, 137","86, 140",,,,
206,/Users/pm286/projects/semanticClimate/climate_justice/PMC7442765/sections/0_front/1_article-meta/15_abstract.xml,"For the non-stationary models, open water evaporation as a covariate of the lake levels with the GEV and MLE was found to have the most influence on the lake level variations as compared with rainfall, discharge, and the low frequency climatic forcing.",ABS,"GEV, MLE","ORG, ORG","97, 105","100, 108",,,,
215,/Users/pm286/projects/semanticClimate/climate_justice/PMC7881308/sections/1_front/1_article-meta/14_abstract.xml,The experience of the Monash Clinical Program is provided to demonstrate the value of using a clinical best practices framework to guide the responses to the challenges generated by COVID19.,ABS,the Monash Clinical Program,ORG,18,45,,,,
216,/Users/pm286/projects/semanticClimate/climate_justice/PMC7881308/sections/1_front/1_article-meta/14_abstract.xml,Research related to clinical best practices undertaken as part of the planning for implementation of the Monash Clinical Guarantee has shaped the programme’s response to COVID19.,ABS,the Monash Clinical Guarantee,ORG,101,130,,,,
230,/Users/pm286/projects/semanticClimate/climate_justice/PMC8353932/sections/1_front/1_article-meta/16_abstract.xml,"Since its inception, the Intergovernmental Panel on Climate Change (IPCC) has always been at the centre of the global climate debate.",ABS,the Intergovernmental Panel on Climate Change,ORG,21,66,,,,
232,/Users/pm286/projects/semanticClimate/climate_justice/PMC8353932/sections/1_front/1_article-meta/16_abstract.xml,"While the IPCC maintains its perception as a policy-neutral adviser, the IPCC in practice acts as a powerful  discursive  agent that guides policy debates in a certain direction by enacting influential scientific concepts.",ABS,"IPCC, IPCC","ORG, ORG","10, 73","14, 77",,,,
251,/Users/pm286/projects/semanticClimate/climate_justice/PMC8441627/sections/1_front/1_article-meta/20_abstract.xml,The ecological dimensions of Jung’s concepts emphasize interconnectedness at all levels and the paradigm shift he called a ‘new age’ provides a framework for altering the course of the Anthropocene Era.,ABS,"Jung’s, the Anthropocene Era","ORG, ORG","29, 181","35, 201",,,,
259,/Users/pm286/projects/semanticClimate/climate_justice/PMC8379034/sections/1_front/1_article-meta/15_abstract.xml,"One, what is likely path of the United Nations as a global climate change/sustainability governance institution?",ABS,the United Nations,ORG,28,46,,,,
265,/Users/pm286/projects/semanticClimate/climate_justice/PMC8305128/sections/0_front/1_article-meta/21_abstract.xml,"Methods: The incidence and mortality rates were estimated using the COVID-19 cases and deaths from the Chilean Ministry of Science, and the population size was obtained from the Chilean Institute of Statistics.",ABS,"the Chilean Ministry of Science, the Chilean Institute of Statistics","ORG, ORG","99, 174","130, 209",,,,
271,/Users/pm286/projects/semanticClimate/climate_justice/PMC8694289/sections/1_front/1_article-meta/13_abstract.xml,"Under the United Nations Framework Convention on Climate Change and its protocols, states have legal obligations to address the climate crisis.",ABS,the United Nations Framework Convention on Climate Change,ORG,6,63,,,,
279,/Users/pm286/projects/semanticClimate/climate_justice/PMC8694289/sections/1_front/1_article-meta/13_abstract.xml,This paper addresses these lacunae within the context of the right to health as enshrined in United Nations human rights treaties and related international law.,ABS,United Nations,ORG,93,107,,,,
281,/Users/pm286/projects/semanticClimate/climate_justice/PMC8014081/sections/1_front/1_article-meta/23_abstract.xml,"A literature search for peer‐reviewed, English language, literature published since the pandemic emerged was conducted using Cumulated Index to Nursing and Allied Health Literature (CINAHL), PubMed, and the Cochrane Library.",ABS,"Nursing, Allied Health Literature (CINAHL, the Cochrane Library","ORG, ORG, ORG","144, 156, 203","151, 188, 223",,,,
284,/Users/pm286/projects/semanticClimate/climate_justice/PMC8014081/sections/1_front/1_article-meta/23_abstract.xml,"With the emergence of COVID‐19 and scholarly discourse that addresses the intersection of the pandemic with climate change, key issues emerged that intersect with policy /advocacy, social justice, and nursings public health role in clinical practice, education, policy/advocacy, and research/scholarship.",ABS,COVID‐19,ORG,22,30,,,,
285,/Users/pm286/projects/semanticClimate/climate_justice/PMC8014081/sections/1_front/1_article-meta/23_abstract.xml,"Five themes that emerged included the  role of public health in COVID‐19 and climate change efforts; global approach addressing human‐environment issues; intersection of COVID‐19 and climate change from a community and global perspective; impacts of COVID‐19, climate change and the environment  and  professional associations and specialty organizations’ views and responsibilities with a lens on COVID‐19 and climate change .",ABS,COVID‐19,ORG,250,258,,,,
286,/Users/pm286/projects/semanticClimate/climate_justice/PMC8014081/sections/1_front/1_article-meta/23_abstract.xml,"Despite the importance of addressing racial inequities as well as systemic and structural racism that impacts those most affected by climate change and pandemics such as COVID‐19, no literature addressed this topic.",ABS,COVID‐19,ORG,170,178,,,,
289,/Users/pm286/projects/semanticClimate/climate_justice/PMC8637707/sections/1_front/1_article-meta/17_abstract.xml,"METHODS From February to April 2021, Project ECHO (Extension for Community Healthcare Outcomes) created an 8-week, synchronous and virtual, CCHH ECHO telementoring series for health professionals.",ABS,Project ECHO (Extension for Community Healthcare Outcomes,ORG,37,94,,,,
294,/Users/pm286/projects/semanticClimate/climate_justice/PMC8637707/sections/1_front/1_article-meta/17_abstract.xml,The CCHH ECHO is one potential platform that may reach a diverse community of health professionals globally due to the diffusion and demonopolization of knowledge.,ABS,The CCHH ECHO,ORG,0,13,,,,
302,/Users/pm286/projects/semanticClimate/climate_justice/PMC8560216/sections/1_front/1_article-meta/15_abstract.xml,"Using the “Breaking Green Ceilings” podcast as a case study, we explore how podcasting serves as an ideal approach to effectively amplify the voices of environmentalists from historically underrepresented communities, specifically Disabled, Queer, Trans, Black, Indigenous, and People of Color.",ABS,"Trans, Black, People of Color","ORG, ORG","248, 278","260, 293",,,,
317,/Users/pm286/projects/semanticClimate/climate_justice/PMC7810100/sections/1_front/1_article-meta/14_abstract.xml,"In 2018, anti-union organizations accomplished one of their top goals by convincing the U.S. Supreme Court to overturn 40 years of precedent and declare union security clauses in the public sector unconstitutional.",ABS,the U.S. Supreme Court,ORG,84,106,,,,
355,/Users/pm286/projects/semanticClimate/climate_justice/PMC7521871/sections/0_front/1_article-meta/17_abstract.xml,The Paris Agreement and the United Nations Framework Convention on Climate Change outline mitigation goals by sector.,ABS,the United Nations Framework Convention on Climate Change,ORG,24,81,,,,
362,/Users/pm286/projects/semanticClimate/climate_justice/PMC7521871/sections/0_front/1_article-meta/16_abstract.xml,Highlights • Measuring CO 2  emissions by sector absconds the impact of luxury emission behaviors.,ABS,Highlights • Measuring CO 2,ORG,0,27,,,,
366,/Users/pm286/projects/semanticClimate/climate_justice/PMC7711747/sections/0_front/1_article-meta/13_abstract.xml,This chapter notes the efforts of implementing a climate change curriculum within the Harvard Graduate School of Education that helps to build competencies for potential leaders in different education sectors so that they can collaboratively combat climate change.,ABS,the Harvard Graduate School of Education,ORG,82,122,,,,
369,/Users/pm286/projects/semanticClimate/climate_justice/PMC7711747/sections/0_front/1_article-meta/13_abstract.xml,The authors examine the design elements of the curriculum and then specify the implementation process of a curriculum at the Harvard Graduate School of Education (HGSE).,ABS,"the Harvard Graduate School of Education, HGSE","ORG, ORG","121, 163","161, 167",,,,
374,/Users/pm286/projects/semanticClimate/climate_justice/PMC7641348/sections/0_front/1_article-meta/23_abstract.xml,"As CalEnviroScreen is geared towards air and water pollution, we assess how community heat risks and adaptation needs would be evaluated differently under two more adaptation-relevant vulnerability indices: the Social Vulnerability Index and the Heat-Health Action Index.",ABS,"Social Vulnerability, the Heat-Health Action Index","ORG, ORG","211, 242","231, 270",,,,
379,/Users/pm286/projects/semanticClimate/climate_justice/PMC7641348/sections/0_front/1_article-meta/23_abstract.xml,Choice of vulnerability index shapes statewide trends in extreme heat risk and is linked to a community’s likelihood of receiving heat-related California Climate Investments (CCI) projects.,ABS,"California Climate Investments, CCI","ORG, ORG","143, 175","173, 178",,,,
384,/Users/pm286/projects/semanticClimate/climate_justice/PMC9566334/sections/1_front/1_article-meta/15_abstract.xml,"Using surface urban heat island (SUHI) intensity data, U.S. Census 2020 population counts, and a measure of residential segregation, this study performs a comparative analysis between census tracts identified as prevalent for White, Black, Hispanic and Asian populations and their thermal exposure from 2003 to 2018.",ABS,"U.S. Census 2020, White, Black","ORG, ORG","55, 226","71, 238",,,,
392,/Users/pm286/projects/semanticClimate/climate_justice/PMC9566334/sections/1_front/1_article-meta/15_abstract.xml,"Increases in percentages of Black, Hispanic, and Asian populations contributed to statistically significant increases in SUHI intensity.",ABS,Black,ORG,28,33,,,,
413,/Users/pm286/projects/semanticClimate/climate_justice/PMC8694300/sections/1_front/1_article-meta/14_abstract.xml,"After discussing the scientific evidence for climate change, its environmental and socioeconomic impacts, and the ethical and human rights justifications for climate reparations, the paper proposes the creation of a new global institutional mechanism, the Global Climate Reparations Fund, which would be linked with the United Nations Human Rights Council, to fund and take action on climate reparations.",ABS,"the Global Climate Reparations Fund, the United Nations Human Rights Council","ORG, ORG","252, 316","287, 355",,,,
415,/Users/pm286/projects/semanticClimate/climate_justice/PMC8300940/sections/0_front/1_article-meta/19_abstract.xml,Synopsis Recent natural disasters and weather extremes are a stark reminder that we live in a climate crisis.,ABS,Synopsis Recent,ORG,0,15,,,,
426,/Users/pm286/projects/semanticClimate/climate_justice/PMC9164297/sections/1_front/1_article-meta/15_abstract.xml,"The United Nations Sustainable Development Goals (SDGs) is a new discursive regime that encompasses global environmental change challenges and sustainability sciences, including adaptation to climate change.",ABS,The United Nations Sustainable Development Goals,ORG,0,48,,,,
428,/Users/pm286/projects/semanticClimate/climate_justice/PMC9164297/sections/1_front/1_article-meta/15_abstract.xml,"In this review article, we investigate if and how the SDG agenda is included in the application of participatory approaches and co-production of knowledge for climate change adaptation.",ABS,SDG,ORG,54,57,,,,
430,/Users/pm286/projects/semanticClimate/climate_justice/PMC9164297/sections/1_front/1_article-meta/15_abstract.xml,"We investigate 1) whether and how co-production approaches localize SDG targets and address tradeoffs and synergies, 2) whether they focus on power asymmetries and political dimensions in such participatory processes, and 3) whether and how the literature show that the SDG agenda contributes to a shift in the role of researchers towards a more interventionist approach to co-production.",ABS,"SDG, SDG","ORG, ORG","68, 270","71, 273",,,,
431,/Users/pm286/projects/semanticClimate/climate_justice/PMC9164297/sections/1_front/1_article-meta/15_abstract.xml,Our results show that there is little evidence that the SDG agenda contributes to a shift towards more interventionist or transformative approaches within climate change adaptation.,ABS,SDG,ORG,56,59,,,,
433,/Users/pm286/projects/semanticClimate/climate_justice/PMC9164297/sections/1_front/1_article-meta/15_abstract.xml,"Most importantly, we find that participatory efforts, including the co-production of knowledge, for localizing SDG goals and resolving tradeoffs and benefits, are the most salient aspects that tie the three co-production - adaptation - the SDG agenda together.",ABS,SDG,ORG,240,243,,,,
443,/Users/pm286/projects/semanticClimate/climate_justice/PMC8267562/sections/0_front/1_article-meta/15_abstract.xml,"The dataset combines and aggregates two data types at the scale of 2400 residential zones (“wijken”, in the terminology used by the Dutch Central Bureau for Statistics) of the Netherlands, 2014.",ABS,the Dutch Central Bureau for Statistics,ORG,128,167,,,,
445,/Users/pm286/projects/semanticClimate/climate_justice/PMC8267562/sections/0_front/1_article-meta/15_abstract.xml,"Second, ten variables describing the socioeconomic status of the residential zones: Western immigrants (%), Non-Western immigrants (%), Rental dwelling (%), Building age (median), Population age 65 or older (%), Population age 15-24 (%), Population age 14 or younger (%), Income per capita (x 1000 €), Property value (x 1000 €), Female minus male (%).",ABS,Non-Western,ORG,108,119,,,,
452,/Users/pm286/projects/semanticClimate/climate_justice/PMC9581138/sections/1_front/1_article-meta/17_abstract.xml,"Over the past decade, Citizen Science (CS) has shown great potential to transform the power of the crowd into knowledge of societal value.",ABS,Citizen Science (CS,ORG,22,41,,,,
455,/Users/pm286/projects/semanticClimate/climate_justice/PMC9581138/sections/1_front/1_article-meta/17_abstract.xml,"To better understand CS activities and characteristics, CS Track employs an analytics and analysis framework for monitoring the citizen science landscape.",ABS,"CS, CS Track","ORG, ORG","21, 56","23, 64",,,,
456,/Users/pm286/projects/semanticClimate/climate_justice/PMC9581138/sections/1_front/1_article-meta/17_abstract.xml,"Within this framework, CS Track collates and processes information from project websites, platforms and social media and generates insights on key issues of concern to the CS community, such as participation patterns or impact on science learning.",ABS,"CS Track, CS","ORG, ORG","23, 172","31, 174",,,,
458,/Users/pm286/projects/semanticClimate/climate_justice/PMC9581138/sections/1_front/1_article-meta/17_abstract.xml,We present three case studies investigating the CS landscape using these analytical levels and discuss the strengths and limitations of combining web-analytics with quantitative and qualitative research methods.,ABS,CS,ORG,48,50,,,,
459,/Users/pm286/projects/semanticClimate/climate_justice/PMC9581138/sections/1_front/1_article-meta/17_abstract.xml,"This framework aims to complement existing methods for evaluating CS, address gaps in current observations of the citizen science landscape and integrate findings from multiple studies and methodologies.",ABS,CS,ORG,66,68,,,,
460,/Users/pm286/projects/semanticClimate/climate_justice/PMC9581138/sections/1_front/1_article-meta/17_abstract.xml,"Through this work, CS Track intends to contribute to the creation of a measurement and evaluation scheme for CS and improve our understanding about the potential of analytics for the evaluation of CS.",ABS,"CS Track, CS, CS","ORG, ORG, ORG","19, 109, 197","27, 111, 199",,,,
471,/Users/pm286/projects/semanticClimate/climate_justice/PMC9459663/sections/1_front/1_article-meta/26_abstract.xml,Exposures Heavy rainfall was defined based on the extent to which annual rainfall deviated from the historical average (standardized precipitation index ≥1.5) at the enumeration area level.,ABS,Exposures Heavy,ORG,0,15,,,,
472,/Users/pm286/projects/semanticClimate/climate_justice/PMC9459663/sections/1_front/1_article-meta/26_abstract.xml,"Main Outcomes and Measures HIV, self-reported sexually transmitted infections (STIs), and number of sexual partners.",ABS,Main Outcomes,ORG,0,13,,,,
476,/Users/pm286/projects/semanticClimate/climate_justice/PMC9459663/sections/1_front/1_article-meta/26_abstract.xml,"Each year of heavy rainfall was associated with 1.14 (95% CI, 1.11-1.18) times the odds of HIV infection and 1.11 (95% CI, 1.07-1.15) times the odds of an STI in the past 12 months.",ABS,STI,ORG,155,158,,,,
481,/Users/pm286/projects/semanticClimate/climate_justice/PMC9459663/sections/1_front/1_article-meta/26_abstract.xml,"Heavy rainfall could also worsen food insecurity, increasing the risk of transactional sex, or cause damage to public health infrastructure, reducing access to STI education, HIV testing, and treatment.",ABS,STI,ORG,160,163,,,,
486,/Users/pm286/projects/semanticClimate/climate_justice/PMC8201521/sections/0_front/1_article-meta/13_abstract.xml,Nurses moved early and eagerly to advocate action to resist climate change and are well positioned to achieve much more.,ABS,Nurses,ORG,0,6,,,,
