anchor,a_text,target,t_text
biogeochemical_effects,"Processes through which land affects  climate , excluding  biophysical effects . These processes inc",climate,"  Climate  Climate in a narrow sense is usually defined as the average weather, or more rigorously, "
biogeochemical_effects,"Processes through which land affects  climate , excluding  biophysical effects . These processes inc",biophysical_effects,  Biophysical effects  The range of physical processes through which  land  affects  climate . These
biogeochemical_effects,"Processes through which land affects  climate , excluding  biophysical effects . These processes inc",carbon_dioxide__co,"  Carbon dioxide (CO 2 )  A naturally occurring gas, CO 2 is also a by-product of burning  fossil fu"
biogeochemical_effects,"Processes through which land affects  climate , excluding  biophysical effects . These processes inc",atmosphere,"  Atmosphere  The gaseous envelope surrounding the Earth, divided into five layers — the  tropospher"
biophysical_effects,The range of physical processes through which  land  affects  climate . These processes include chan,land,"  Land  The terrestrial portion of the biosphere that comprises the natural resources (soil, near su"
biophysical_effects,The range of physical processes through which  land  affects  climate . These processes include chan,climate,"  Climate  Climate in a narrow sense is usually defined as the average weather, or more rigorously, "
aias_soot__arising_from_the_incomplete_combustion_of,"fossil fuels, biofuel,  and  biomass . It stays in the  atmosphere  only for days or weeks. Black ca",biomass,  Biomass  Organic material excluding the material that is fossilised or embedded in geological form
aias_soot__arising_from_the_incomplete_combustion_of,"fossil fuels, biofuel,  and  biomass . It stays in the  atmosphere  only for days or weeks. Black ca",atmosphere,"  Atmosphere  The gaseous envelope surrounding the Earth, divided into five layers — the  tropospher"
blue_carbon,All biologically-driven carbon  fluxes  and storage in marine systems that are amenable to managemen,atmosphere,"  Atmosphere  The gaseous envelope surrounding the Earth, divided into five layers — the  tropospher"
carbon_budget,Refers to three concepts in the literature: (1) an assessment of  carbon cycle sources  and  sinks  ,evidence,  Evidence  Data and information used in the scientific process to establish findings. In this repor
carbon_budget,Refers to three concepts in the literature: (1) an assessment of  carbon cycle sources  and  sinks  ,co,  CO 2 equivalent (CO 2 -eq) emission  The amount of  carbon dioxide  ( CO 2 ) emission that would c
carbon_budget,Refers to three concepts in the literature: (1) an assessment of  carbon cycle sources  and  sinks  ,co,  CO 2 fertilisation  The enhancement of plant growth as a result of increased atmospheric  carbon d
carbon_budget,Refers to three concepts in the literature: (1) an assessment of  carbon cycle sources  and  sinks  ,reference_period,  Reference period  The period relative to which  anomalies  are computed. See also  Anomalies .
carbon_budget,Refers to three concepts in the literature: (1) an assessment of  carbon cycle sources  and  sinks  ,equity,"  Equity  The principle of being fair and impartial, and a basis for understanding how the  impacts "
carbon_cycle,"The flow of carbon (in various forms, e.g., as  carbon dioxide  ( CO 2 ), carbon in  biomass , and c",co,  CO 2 equivalent (CO 2 -eq) emission  The amount of  carbon dioxide  ( CO 2 ) emission that would c
carbon_cycle,"The flow of carbon (in various forms, e.g., as  carbon dioxide  ( CO 2 ), carbon in  biomass , and c",co,  CO 2 fertilisation  The enhancement of plant growth as a result of increased atmospheric  carbon d
carbon_cycle,"The flow of carbon (in various forms, e.g., as  carbon dioxide  ( CO 2 ), carbon in  biomass , and c",biomass,  Biomass  Organic material excluding the material that is fossilised or embedded in geological form
carbon_cycle,"The flow of carbon (in various forms, e.g., as  carbon dioxide  ( CO 2 ), carbon in  biomass , and c",atmosphere,"  Atmosphere  The gaseous envelope surrounding the Earth, divided into five layers — the  tropospher"
carbon_dioxide__co,"2 )  A naturally occurring gas, CO 2 is also a by-product of burning  fossil fuels  (such as oil, ga",fossil_fuels,"  Fossil fuels  Carbon-based fuels from fossil hydrocarbon deposits, including coal, oil, and natura"
carbon_dioxide__co,"2 )  A naturally occurring gas, CO 2 is also a by-product of burning  fossil fuels  (such as oil, ga",biomass,  Biomass  Organic material excluding the material that is fossilised or embedded in geological form
carbon_dioxide__co,"2 )  A naturally occurring gas, CO 2 is also a by-product of burning  fossil fuels  (such as oil, ga",anthropogenic,"  Anthropogenic  Resulting from or produced by human activities. See also  Anthropogenic emissions, "
carbon_dioxide_capture_and_storage__ccs_,A process in which a relatively pure stream of  carbon dioxide (CO 2 ) from industrial and energy-re,carbon_dioxide__co,"  Carbon dioxide (CO 2 )  A naturally occurring gas, CO 2 is also a by-product of burning  fossil fu"
carbon_dioxide_capture_and_storage__ccs_,A process in which a relatively pure stream of  carbon dioxide (CO 2 ) from industrial and energy-re,sequestration,  Sequestration  See  Uptake  and  Carbon sequestration .
carbon_dioxide_capture_and_utilisation__ccu_,A process in which  carbon dioxide (CO 2 ) is captured and then used to produce a new product. If th,carbon_dioxide__co,"  Carbon dioxide (CO 2 )  A naturally occurring gas, CO 2 is also a by-product of burning  fossil fu"
carbon_dioxide_capture_and_utilisation__ccu_,A process in which  carbon dioxide (CO 2 ) is captured and then used to produce a new product. If th,climate,"  Climate  Climate in a narrow sense is usually defined as the average weather, or more rigorously, "
carbon_dioxide_capture_and_utilisation__ccu_,A process in which  carbon dioxide (CO 2 ) is captured and then used to produce a new product. If th,atmosphere,"  Atmosphere  The gaseous envelope surrounding the Earth, divided into five layers — the  tropospher"
carbon_dioxide_capture_and_utilisation__ccu_,A process in which  carbon dioxide (CO 2 ) is captured and then used to produce a new product. If th,carbon_dioxide_capture_and_storage__ccs_,  Carbon dioxide capture and storage (CCS)  A process in which a relatively pure stream of  carbon d
carbon_dioxide_capture__utilisation_and_storage__ccus_,See  Carbon dioxide capture and utilisation (CCU) .,carbon_dioxide_capture_and_utilisation__ccu_,  Carbon dioxide capture and utilisation (CCU)  A process in which  carbon dioxide (CO 2 ) is captur
carbon_dioxide_removal__cdr_,Anthropogenic  activities removing  carbon dioxide (CO 2 ) from the  atmosphere  and durably storing,anthropogenic,"  Anthropogenic  Resulting from or produced by human activities. See also  Anthropogenic emissions, "
carbon_dioxide_removal__cdr_,Anthropogenic  activities removing  carbon dioxide (CO 2 ) from the  atmosphere  and durably storing,carbon_dioxide__co,"  Carbon dioxide (CO 2 )  A naturally occurring gas, CO 2 is also a by-product of burning  fossil fu"
carbon_dioxide_removal__cdr_,Anthropogenic  activities removing  carbon dioxide (CO 2 ) from the  atmosphere  and durably storing,atmosphere,"  Atmosphere  The gaseous envelope surrounding the Earth, divided into five layers — the  tropospher"
carbon_dioxide_removal__cdr_,Anthropogenic  activities removing  carbon dioxide (CO 2 ) from the  atmosphere  and durably storing,uptake,"  Uptake  The addition of a substance of concern to a  reservoir . See also  Carbon sequestration , "
carbon_dioxide_removal__cdr_,Anthropogenic  activities removing  carbon dioxide (CO 2 ) from the  atmosphere  and durably storing,sink,"  Sink  Any process, activity or mechanism which removes a  greenhouse gas , an  aerosol  or a  prec"
carbon_intensity,The amount of emissions of  carbon dioxide (CO 2 ) released per unit of another variable such as  gr,carbon_dioxide__co,"  Carbon dioxide (CO 2 )  A naturally occurring gas, CO 2 is also a by-product of burning  fossil fu"
carbon_intensity,The amount of emissions of  carbon dioxide (CO 2 ) released per unit of another variable such as  gr,gross_domestic_product__gdp_,"  Gross domestic product (GDP)  The sum of gross value added, at purchasers’ prices, by all resident"
carbon_price,The price for avoided or released  carbon dioxide  ( CO 2 ) or  CO 2 -equivalent emissions . This ma,co,  CO 2 equivalent (CO 2 -eq) emission  The amount of  carbon dioxide  ( CO 2 ) emission that would c
carbon_price,The price for avoided or released  carbon dioxide  ( CO 2 ) or  CO 2 -equivalent emissions . This ma,co,  CO 2 fertilisation  The enhancement of plant growth as a result of increased atmospheric  carbon d
carbon_price,The price for avoided or released  carbon dioxide  ( CO 2 ) or  CO 2 -equivalent emissions . This ma,co,  CO 2 equivalent (CO 2 -eq) emission  The amount of  carbon dioxide  ( CO 2 ) emission that would c
carbon_price,The price for avoided or released  carbon dioxide  ( CO 2 ) or  CO 2 -equivalent emissions . This ma,co,  CO 2 fertilisation  The enhancement of plant growth as a result of increased atmospheric  carbon d
carbon_sequestration,"The process of storing carbon in a carbon  pool . See also  Blue carbon, Carbon dioxide capture and ",sink,"  Sink  Any process, activity or mechanism which removes a  greenhouse gas , an  aerosol  or a  prec"
carbon_sink,See  Sink .,sink,"  Sink  Any process, activity or mechanism which removes a  greenhouse gas , an  aerosol  or a  prec"
carbon_stock,"The quantity of carbon in a carbon  pool . See also  Pool, carbon and nitrogen .",pool__carbon_and_nitrogen,"  Pool, carbon and nitrogen A  reservoir  in the earth system where elements, such as carbon and nit"
clean_development_mechanism__cdm_,A mechanism defined under Article 12 of the  Kyoto Protocol  through which investors (governments or,kyoto_protocol,  Kyoto Protocol  The Kyoto Protocol to the  United Nations Framework Convention on Climate Change (
clean_development_mechanism__cdm_,A mechanism defined under Article 12 of the  Kyoto Protocol  through which investors (governments or,greenhouse_gas__ghg_,"  Greenhouse gas (GHG)  Gaseous constituents of the  atmosphere , both natural and  anthropogenic , "
aiclassical_period_for_averaging_these_variables_is_30_years__as_defined_by_the_world_meteorological_organization__the_relevant_quantities_are_most_often_surface_variables_such_as_temperature__precipitation_and_wind__climate_in_a_wider_sense_is_the_state__including_a_statistical_description__of_the,climate system .,climate_system,"  Climate system  The system consisting of five major components: the  atmosphere , the hydrosphere,"
climate_change,"A change in the state of the  climate  that can be identified (e.g., by using statistical tests) by ",climate,"  Climate  Climate in a narrow sense is usually defined as the average weather, or more rigorously, "
climate_change,"A change in the state of the  climate  that can be identified (e.g., by using statistical tests) by ",anthropogenic,"  Anthropogenic  Resulting from or produced by human activities. See also  Anthropogenic emissions, "
climate_change,"A change in the state of the  climate  that can be identified (e.g., by using statistical tests) by ",atmosphere,"  Atmosphere  The gaseous envelope surrounding the Earth, divided into five layers — the  tropospher"
climate_change,"A change in the state of the  climate  that can be identified (e.g., by using statistical tests) by ",land_use,"  Land use   The total of arrangements, activities and inputs applied to a parcel of land. The term "
climate_change,"A change in the state of the  climate  that can be identified (e.g., by using statistical tests) by ",detection_and_attribution,  Detection and attribution  Detection of change is defined as the process of demonstrating that cli
climate_extreme__extreme_weather_or_climate_event_,The occurrence of a value of a weather or  climate  variable above (or below) a threshold value near,climate,"  Climate  Climate in a narrow sense is usually defined as the average weather, or more rigorously, "
climate_extreme__extreme_weather_or_climate_event_,The occurrence of a value of a weather or  climate  variable above (or below) a threshold value near,extreme_weather_event,  Extreme weather event  An event that is rare at a particular place and time of year. Definitions o
climate_feedback,An interaction in which a perturbation in one  climate  quantity causes a change in a second and the,climate,"  Climate  Climate in a narrow sense is usually defined as the average weather, or more rigorously, "
climate_governance,See  Governance .,governance,"  Governance  A comprehensive and inclusive concept of the full range of means for deciding, managin"
climate_model,"A numerical representation of the  climate system  based on the physical, chemical and biological pr",climate_system,"  Climate system  The system consisting of five major components: the  atmosphere , the hydrosphere,"
climate_model,"A numerical representation of the  climate system  based on the physical, chemical and biological pr",feedback,  Feedback  See  Climate feedback .
climate_model,"A numerical representation of the  climate system  based on the physical, chemical and biological pr",climate,"  Climate  Climate in a narrow sense is usually defined as the average weather, or more rigorously, "
climate_model,"A numerical representation of the  climate system  based on the physical, chemical and biological pr",earth_system_model__esm_,  Earth system model (ESM)  A coupled atmosphere–ocean general circulation model in which a represen
climate_projection,Simulated response of the  climate system  to a  scenario  of future emissions or concentrations of ,climate_system,"  Climate system  The system consisting of five major components: the  atmosphere , the hydrosphere,"
climate_projection,Simulated response of the  climate system  to a  scenario  of future emissions or concentrations of ,scenario,  Scenario  A plausible description of how the future may develop based on a coherent and internally
climate_projection,Simulated response of the  climate system  to a  scenario  of future emissions or concentrations of ,radiative_forcing,"  Radiative forcing  The change in the net, downward minus upward, radiative flux (expressed in W m "
climate-resilient_development_pathways__crdps_,Trajectories that strengthen  sustainable development  and efforts to eradicate  poverty  and reduce,poverty,  Poverty  A complex concept with several definitions stemming from different schools of thought. It
climate-resilient_development_pathways__crdps_,Trajectories that strengthen  sustainable development  and efforts to eradicate  poverty  and reduce,adaptation,"  Adaptation  In  human systems,  the process of adjustment to actual or expected  climate  and its "
climate-resilient_development_pathways__crdps_,Trajectories that strengthen  sustainable development  and efforts to eradicate  poverty  and reduce,resilience,"  Resilience  The capacity of interconnected social, economic and ecological systems to cope with a "
climate-resilient_development_pathways__crdps_,Trajectories that strengthen  sustainable development  and efforts to eradicate  poverty  and reduce,climate,"  Climate  Climate in a narrow sense is usually defined as the average weather, or more rigorously, "
climate-resilient_development_pathways__crdps_,Trajectories that strengthen  sustainable development  and efforts to eradicate  poverty  and reduce,feasibility,  Feasibility  The degree to which climate goals and response options are considered possible and/or
climate-resilient_development_pathways__crdps_,Trajectories that strengthen  sustainable development  and efforts to eradicate  poverty  and reduce,global_warming,  Global warming  An increase in  global mean surface temperature (GMST) averaged  over a 30-year pe
climate-resilient_development_pathways__crdps_,Trajectories that strengthen  sustainable development  and efforts to eradicate  poverty  and reduce,well-being,"  Well-being A state of existence that fulfils various human needs, including material living condit"
climate-resilient_pathways,Iterative processes for managing change within complex systems in order to reduce disruptions and en,climate_change,"  Climate change  A change in the state of the  climate  that can be identified (e.g., by using stat"
climate-resilient_pathways,Iterative processes for managing change within complex systems in order to reduce disruptions and en,transformation_pathways,  Transformation pathways  See  Pathways .
climate_sensitivity,The change in the annual  global mean surface temperature  in response to a change in the atmospheri,carbon_dioxide__co,"  Carbon dioxide (CO 2 )  A naturally occurring gas, CO 2 is also a by-product of burning  fossil fu"
climate_services,Information and products that enhance users’ knowledge and understanding about the  impacts  of  cli,climate_change,"  Climate change  A change in the state of the  climate  that can be identified (e.g., by using stat"
climate_services,Information and products that enhance users’ knowledge and understanding about the  impacts  of  cli,climate_variability,  Climate variability  Variations in the mean state and other statistics (such as standard deviation
climate_services,Information and products that enhance users’ knowledge and understanding about the  impacts  of  cli,risk,"  Risk  The potential for adverse consequences for human or ecological systems, recognising the dive"
climate_services,Information and products that enhance users’ knowledge and understanding about the  impacts  of  cli,vulnerability,  Vulnerability  The propensity or predisposition to be adversely affected. Vulnerability encompasse
climate_system,"The system consisting of five major components: the  atmosphere , the hydrosphere, the cryosphere, t",atmosphere,"  Atmosphere  The gaseous envelope surrounding the Earth, divided into five layers — the  tropospher"
climate_system,"The system consisting of five major components: the  atmosphere , the hydrosphere, the cryosphere, t",anthropogenic,"  Anthropogenic  Resulting from or produced by human activities. See also  Anthropogenic emissions, "
climate_target,"A temperature limit, concentration level, or emissions reduction goal used towards the aim of avoidi",anthropogenic,"  Anthropogenic  Resulting from or produced by human activities. See also  Anthropogenic emissions, "
climate_target,"A temperature limit, concentration level, or emissions reduction goal used towards the aim of avoidi",climate_system,"  Climate system  The system consisting of five major components: the  atmosphere , the hydrosphere,"
climate_target,"A temperature limit, concentration level, or emissions reduction goal used towards the aim of avoidi",kyoto_protocol,  Kyoto Protocol  The Kyoto Protocol to the  United Nations Framework Convention on Climate Change (
climate_variability,"Variations in the mean state and other statistics (such as standard deviations, the occurrence of ex",climate,"  Climate  Climate in a narrow sense is usually defined as the average weather, or more rigorously, "
climate_variability,"Variations in the mean state and other statistics (such as standard deviations, the occurrence of ex",climate_system,"  Climate system  The system consisting of five major components: the  atmosphere , the hydrosphere,"
climate_variability,"Variations in the mean state and other statistics (such as standard deviations, the occurrence of ex",anthropogenic,"  Anthropogenic  Resulting from or produced by human activities. See also  Anthropogenic emissions, "
climate_variability,"Variations in the mean state and other statistics (such as standard deviations, the occurrence of ex",forcing,  Forcing  See  Radiative forcing .
climate_variability,"Variations in the mean state and other statistics (such as standard deviations, the occurrence of ex",climate_change,"  Climate change  A change in the state of the  climate  that can be identified (e.g., by using stat"
co,2 equivalent (CO 2 -eq) emission  The amount of  carbon dioxide  ( CO 2 ) emission that would cause ,co,  CO 2 equivalent (CO 2 -eq) emission  The amount of  carbon dioxide  ( CO 2 ) emission that would c
co,2 equivalent (CO 2 -eq) emission  The amount of  carbon dioxide  ( CO 2 ) emission that would cause ,co,  CO 2 fertilisation  The enhancement of plant growth as a result of increased atmospheric  carbon d
co,2 equivalent (CO 2 -eq) emission  The amount of  carbon dioxide  ( CO 2 ) emission that would cause ,radiative_forcing,"  Radiative forcing  The change in the net, downward minus upward, radiative flux (expressed in W m "
co,2 equivalent (CO 2 -eq) emission  The amount of  carbon dioxide  ( CO 2 ) emission that would cause ,greenhouse_gas__ghg_,"  Greenhouse gas (GHG)  Gaseous constituents of the  atmosphere , both natural and  anthropogenic , "
co,2 fertilisation  The enhancement of plant growth as a result of increased atmospheric  carbon dioxid,carbon_dioxide__co,"  Carbon dioxide (CO 2 )  A naturally occurring gas, CO 2 is also a by-product of burning  fossil fu"
co-benefits,"The positive effects that a policy or measure aimed at one objective might have on other objectives,",risk,"  Risk  The potential for adverse consequences for human or ecological systems, recognising the dive"
conference_of_the_parties__cop_,"The supreme body of UN conventions, such as the  United Nations Framework Convention on that have ra",united_nations_convention_to_combat_desertification__unccd_,  United Nations Convention to Combat Desertification (UNCCD)  A legally binding international agree
confidence,"The robustness of a finding based on the type, amount, quality and consistency of  evidence  (e.g., ",evidence,  Evidence  Data and information used in the scientific process to establish findings. In this repor
confidence,"The robustness of a finding based on the type, amount, quality and consistency of  evidence  (e.g., ",agreement,"  Agreement  In this report, the degree of agreement within the scientific body of knowledge on a pa"
confidence,"The robustness of a finding based on the type, amount, quality and consistency of  evidence  (e.g., ",likelihood,"  Likelihood  The chance of a specific outcome occurring, where this might be estimated probabilisti"
confidence,"The robustness of a finding based on the type, amount, quality and consistency of  evidence  (e.g., ",uncertainty,  Uncertainty  A state of incomplete knowledge that can result from a lack of information or from di
convection,"Vertical motion driven by buoyancy forces arising from static instability, usually caused by near-su",atmosphere,"  Atmosphere  The gaseous envelope surrounding the Earth, divided into five layers — the  tropospher"
coping_capacity,"The ability of people,  institutions , organisations, and systems, using available skills, values, b",resilience,"  Resilience  The capacity of interconnected social, economic and ecological systems to cope with a "
cost-benefit_analysis,Monetary assessment of all negative and positive impacts associated with a given action. Cost-benefi,climate_change,"  Climate change  A change in the state of the  climate  that can be identified (e.g., by using stat"
cost-benefit_analysis,Monetary assessment of all negative and positive impacts associated with a given action. Cost-benefi,discounting,  Discounting  A mathematical operation that aims to make monetary (or other) amounts received or ex
coupled_model_intercomparison_project__cmip_,A climate modelling activity from the World Climate Research Programme (WCRP) which coordinates and ,climate_model,"  Climate model  A numerical representation of the  climate system  based on the physical, chemical "
coupled_model_intercomparison_project__cmip_,A climate modelling activity from the World Climate Research Programme (WCRP) which coordinates and ,representative_concentration_pathways__rcps_,  Representative concentration pathways (RCPs)  See  Pathways.
cumulative_emissions,The total amount of emissions released over a specified period of time. See also  Carbon budget .,carbon_budget,  Carbon budget  Refers to three concepts in the literature: (1) an assessment of  carbon cycle sour
decoupling,Decoupling (in relation to  climate change ) is where economic growth is no longer strongly associat,climate_change,"  Climate change  A change in the state of the  climate  that can be identified (e.g., by using stat"
decoupling,Decoupling (in relation to  climate change ) is where economic growth is no longer strongly associat,fossil_fuels,"  Fossil fuels  Carbon-based fuels from fossil hydrocarbon deposits, including coal, oil, and natura"
deforestation,Conversion of  forest  to non-forest.  [Note: For a discussion of the term forest and related terms ,forest,  Forest  A vegetation type dominated by trees. Many definitions of the term forest are in use throu
deforestation,Conversion of  forest  to non-forest.  [Note: For a discussion of the term forest and related terms ,afforestation,  Afforestation  Conversion to  forest  of land that historically has not contained forests. [Note: 
deforestation,Conversion of  forest  to non-forest.  [Note: For a discussion of the term forest and related terms ,reforestation,  Reforestation  Conversion to  forest  of  land  that has previously contained forests but that has
deforestation,Conversion of  forest  to non-forest.  [Note: For a discussion of the term forest and related terms ,deforestation,  Deforestation  Conversion of  forest  to non-forest.  [Note: For a discussion of the term forest a
deforestation,Conversion of  forest  to non-forest.  [Note: For a discussion of the term forest and related terms ,reducing_emissions_from_deforestation_and_forest_degradation__redd__,  Reducing Emissions from Deforestation and Forest Degradation (REDD+)   REDD+ refers to reducing em
deliberative_governance,See  Governance .,governance,"  Governance  A comprehensive and inclusive concept of the full range of means for deciding, managin"
demand-side_measures,See  Demand and supply-side measures .,demand_and_supply-side_measures,  Demand and supply-side measures 
desertification,"Land degradation  in arid, semi-arid, and dry sub-humid areas resulting from many factors, including",land_degradation,"  Land degradation  A negative trend in land condition, caused by direct or indirect human-induced p"
detection,See  Detection and attribution .,detection_and_attribution,  Detection and attribution  Detection of change is defined as the process of demonstrating that cli
detection_and_attribution,Detection of change is defined as the process of demonstrating that climate or a system affected by ,likelihood,"  Likelihood  The chance of a specific outcome occurring, where this might be estimated probabilisti"
detection_and_attribution,Detection of change is defined as the process of demonstrating that climate or a system affected by ,confidence,"  Confidence  The robustness of a finding based on the type, amount, quality and consistency of  evi"
development_pathways,See  Pathways .,pathways,  Pathways  The temporal evolution of natural and/or  human systems  towards a future state. Pathway
diet,"‘The kinds of food that follow a particular pattern that a person or community eats’ (FAO, 2014). Se",dietary_patterns,"  Dietary patterns  The quantities, proportions, variety or combinations of different foods and beve"
