,pmcid,doi,title,authorString,pubYear,abstractText,isOpenAccess,license
12,PMC11198863,10.1371/journal.pone.0289384,Registered report: Age-preserved semantic memory and the CRUNCH effect manifested as differential semantic control networks: An fMRI study.,"Haitas N, Dubuc J, Massé-Leblanc C, Chamberland V, Amiri M, Glatard T, Wilson M, Joanette Y, Steffener J.",2024,"Semantic memory representations are generally well maintained in aging, whereas semantic control is thought to be more affected. To explain this phenomenon, this study tested the predictions of the Compensation-Related Utilization of Neural Circuits Hypothesis (CRUNCH), focusing on task demands in aging as a possible framework. The CRUNCH effect would manifest itself in semantic tasks through a compensatory increase in neural activation in semantic control network regions but only up to a certain threshold of task demands. This study compares 39 younger (20-35 years old) with 39 older participants (60-75 years old) in a triad-based semantic judgment task performed in an fMRI scanner while manipulating task demand levels (low versus high) through semantic distance. In line with the CRUNCH predictions, differences in neurofunctional activation and behavioral performance (accuracy and response times) were expected in younger versus older participants in the low- versus high-demand conditions, which should be manifested in semantic control Regions of Interest (ROIs). Our older participants had intact behavioral performance, as proposed in the literature for semantic memory tasks (maintained accuracy and slower response times (RTs)). Age-invariant behavioral performance in the older group compared to the younger one is necessary to test the CRUNCH predictions. The older adults were also characterized by high cognitive reserve, as our neuropsychological tests showed. Our behavioral results confirmed that our task successfully manipulated task demands: error rates, RTs and perceived difficulty increased with increasing task demands in both age groups. We did not find an interaction between age group and task demand, or a statistically significant difference in activation between the low- and high-demand conditions for either RTs or accuracy. As for brain activation, we did not find the expected age group by task demand interaction, or a significant main effect of task demand. Overall, our results are compatible with some neural activation in the semantic network and the semantic control network, largely in frontotemporoparietal regions. ROI analyses demonstrated significant effects (but no interactions) of task demand in the left and right inferior frontal gyrus, the left posterior middle temporal gyrus, the posterior inferior temporal gyrus and the prefrontal gyrus. Overall, our test did not confirm the CRUNCH predictions.",Y,cc by
13,PMC11086904,10.1371/journal.pone.0302333,A novel code representation for detecting Java code clones using high-level and abstract compiled code representations.,"Quradaa FH, Shahzad S, Saeed R, Sufyan MM.",2024,"In software development, it's common to reuse existing source code by copying and pasting, resulting in the proliferation of numerous code clones-similar or identical code fragments-that detrimentally affect software quality and maintainability. Although several techniques for code clone detection exist, many encounter challenges in effectively identifying semantic clones due to their inability to extract syntax and semantics information. Fewer techniques leverage low-level source code representations like bytecode or assembly for clone detection. This work introduces a novel code representation for identifying syntactic and semantic clones in Java source code. It integrates high-level features extracted from the Abstract Syntax Tree with low-level features derived from intermediate representations generated by static analysis tools, like the Soot framework. Leveraging this combined representation, fifteen machine-learning models are trained to effectively detect code clones. Evaluation on a large dataset demonstrates the models' efficacy in accurately identifying semantic clones. Among these classifiers, ensemble classifiers, such as the LightGBM classifier, exhibit exceptional accuracy. Linearly combining features enhances the effectiveness of the models compared to multiplication and distance combination techniques. The experimental findings indicate that the proposed method can outperform the current clone detection techniques in detecting semantic clones.",Y,cc by
14,PMC11139993,10.1038/s41598-024-63195-5,Multiscale knowledge distillation with attention based fusion for robust human activity recognition.,"Yuan Z, Yang Z, Ning H, Tang X.",2024,"Knowledge distillation is an effective approach for training robust multi-modal machine learning models when synchronous multimodal data are unavailable. However, traditional knowledge distillation techniques have limitations in comprehensively transferring knowledge across modalities and models. This paper proposes a multiscale knowledge distillation framework to address these limitations. Specifically, we introduce a multiscale semantic graph mapping (SGM) loss function to enable more comprehensive knowledge transfer between teacher and student networks at multiple feature scales. We also design a fusion and tuning (FT) module to fully utilize correlations within and between different data types of the same modality when training teacher networks. Furthermore, we adopt transformer-based backbones to improve feature learning compared to traditional convolutional neural networks. We apply the proposed techniques to multimodal human activity recognition and compared with the baseline method, it improved by 2.31% and 0.29% on the MMAct and UTD-MHAD datasets. Ablation studies validate the necessity of each component.",Y,cc by
15,PMC11053063,10.1038/s41598-024-58422-y,Rate splitting with semantics as a generalized multi-access framework for intelligent reflecting surfaces.,"Jagatheesaperumal SK, Yang Z, Hassan MR, Hassan MM, Fortino G.",2024,"The rapid advancement of modern communication technologies necessitates the development of generalized multi-access frameworks and the continuous implementation of rate splitting, augmented with semantic awareness. This trend, coupled with the mounting pressure on wireless services, underscores the need for intelligent approaches to radio signal propagation. In response to these challenges, intelligent reflecting surfaces (IRS) have garnered significant attention for their ability to control data transmission systems in a goal-oriented and dynamic manner. This innovation is largely attributed to equitable resource allocation and the dynamic enhancement of network performance. However, the integration of rate-splitting multi-access (RSMA) architecture with semantic considerations imposes stringent requirements on IRS platforms to ensure seamless connectivity and broad coverage for a diverse user base without interference. Semantic communications hinge on a knowledge base-a centralized repository of integrated information related to the transmitted data-which becomes critically important in multi-antenna scenarios. This article proposes a novel set of design strategies for RSMA-IRS systems, enabled by reconfigurable intelligent surface synergizing with semantic communication principles. An experimental analysis is presented, demonstrating the effectiveness of these design guidelines in the context of Beyond 5G/6G communication systems. The RSMA-IRS model, infused with semantic communication, offers a promising solution for future wireless networks. Performance evaluations of the proposed approach reveal that, despite an increase in the number of users, the delay in the RSMA-IRS framework incorporating semantics is 2.94% less than that of a RSMA-IRS system without semantic integration.",Y,cc by
16,PMC11189566,10.1038/s41467-024-49528-y,Simple autonomous agents can enhance creative semantic discovery by human groups.,"Ueshima A, Jones MI, Christakis NA.",2024,"Innovation is challenging, and theory and experiments indicate that groups may be better able to identify and preserve innovations than individuals. But innovation within groups faces its own challenges, including groupthink and truncated diffusion. We performed experiments involving a game in which people search for ideas in various conditions: alone, in networked social groups, or in networked groups featuring autonomous agents (bots). The objective was to search a semantic space of 20,000 nouns with defined similarities for an arbitrary noun with the highest point value. Participants (N = 1875) were embedded in networks (n = 125) of 15 nodes to which we sometimes added 2 bots. The bots had 3 possible strategies: they shared a random noun generated by their immediate neighbors, or a noun most similar from among those identified, or a noun least similar. We first confirm that groups are better able to explore a semantic space than isolated individuals. Then we show that when bots that share the most similar noun operate in groups facing a semantic space that is relatively easy to navigate, group performance is superior. Simple autonomous agents with interpretable behavior can affect the capacity for creative discovery of human groups.",Y,cc by
17,PMC11035687,10.1038/s42003-024-06162-0,Revealing the mechanisms of semantic satiation with deep learning models.,"Zhang X, Lian J, Yu Z, Tang H, Liang D, Liu J, Liu JK.",2024,"The phenomenon of semantic satiation, which refers to the loss of meaning of a word or phrase after being repeated many times, is a well-known psychological phenomenon. However, the microscopic neural computational principles responsible for these mechanisms remain unknown. In this study, we use a deep learning model of continuous coupled neural networks to investigate the mechanism underlying semantic satiation and precisely describe this process with neuronal components. Our results suggest that, from a mesoscopic perspective, semantic satiation may be a bottom-up process. Unlike existing macroscopic psychological studies that suggest that semantic satiation is a top-down process, our simulations use a similar experimental paradigm as classical psychology experiments and observe similar results. Satiation of semantic objectives, similar to the learning process of our network model used for object recognition, relies on continuous learning and switching between objects. The underlying neural coupling strengthens or weakens satiation. Taken together, both neural and network mechanisms play a role in controlling semantic satiation.",Y,cc by
18,PMC11151246,,Prediction of the stage shift growth of early-stage lung adenocarcinomas by volume-doubling time,"Tang E, Wu Y, Chen C, Wu F.",2024,,Y,cc by-nc-nd
19,PMC11139306,10.1371/journal.pbio.3002622,Negation mitigates rather than inverts the neural representations of adjectives.,"Zuanazzi A, Ripollés P, Lin WM, Gwilliams L, King JR, Poeppel D.",2024,"Combinatoric linguistic operations underpin human language processes, but how meaning is composed and refined in the mind of the reader is not well understood. We address this puzzle by exploiting the ubiquitous function of negation. We track the online effects of negation (""not"") and intensifiers (""really"") on the representation of scalar adjectives (e.g., ""good"") in parametrically designed behavioral and neurophysiological (MEG) experiments. The behavioral data show that participants first interpret negated adjectives as affirmative and later modify their interpretation towards, but never exactly as, the opposite meaning. Decoding analyses of neural activity further reveal significant above chance decoding accuracy for negated adjectives within 600 ms from adjective onset, suggesting that negation does not invert the representation of adjectives (i.e., ""not bad"" represented as ""good""); furthermore, decoding accuracy for negated adjectives is found to be significantly lower than that for affirmative adjectives. Overall, these results suggest that negation mitigates rather than inverts the neural representations of adjectives. This putative suppression mechanism of negation is supported by increased synchronization of beta-band neural activity in sensorimotor areas. The analysis of negation provides a steppingstone to understand how the human brain represents changes of meaning over time.",Y,cc by
20,PMC10586433,10.1155/2023/9790234,Retracted: A Lightweight Semantic Segmentation Algorithm Based on Deep Convolutional Neural Networks.,Intelligence And Neuroscience C.,2023,[This retracts the article DOI: 10.1155/2022/5339664.].,Y,cc by
21,PMC10973368,10.1038/s41598-024-57408-0,A deep inverse convolutional neural network-based semantic classification method for land cover remote sensing images.,"Wang M, She A, Chang H, Cheng F, Yang H.",2024,"The imbalance of land cover categories is a common problem. Some categories appear less frequently in the image, while others may occupy the vast majority of the proportion. This imbalance can lead the classifier to tend to predict categories with higher frequency of occurrence, while the recognition effect on minority categories is poor. In view of the difficulty of land cover remote sensing image multi-target semantic classification, a semantic classification method of land cover remote sensing image based on depth deconvolution neural network is proposed. In this method, the land cover remote sensing image semantic segmentation algorithm based on depth deconvolution neural network is used to segment the land cover remote sensing image with multi-target semantic segmentation; Four semantic features of color, texture, shape and size in land cover remote sensing image are extracted by using the semantic feature extraction method of remote sensing image based on improved sequential clustering algorithm; The classification and recognition method of remote sensing image semantic features based on random forest algorithm is adopted to classify and identify four semantic feature types of land cover remote sensing image, and realize the semantic classification of land cover remote sensing image. The experimental results show that after this method classifies the multi-target semantic types of land cover remote sensing images, the average values of Dice similarity coefficient and Hausdorff distance are 0.9877 and 0.9911 respectively, which can accurately classify the multi-target semantic types of land cover remote sensing images.",Y,cc by
22,PMC11150377,10.1038/s41598-024-63623-6,RA-Net: reverse attention for generalizing residual learning.,"Wang Z, Xie X, Yang J, Song X.",2024,"Since residual learning was proposed, identity mapping has been widely utilized in various neural networks. The method enables information transfer without any attenuation, which plays a significant role in training deeper networks. However, interference with unhindered transmission also affects the network's performance. Accordingly, we propose a generalized residual learning architecture called reverse attention (RA), which applies high-level semantic features to supervise low-level information in the identity mapping branch. It means that higher semantic features selectively transmit low-level information to deeper layers. In addition, we propose a Modified Global Response Normalization(M-GRN) to implement reverse attention. RA-Net is derived by embedding M-GRN in the residual learning framework. The experiments show that the RA-Net brings significant improvements over residual networks on typical computer vision tasks. For classification on ImageNet-1K, compared with resnet101, RA-Net improves the Top-1 accuracy by 1.7% with comparable parameters and computational cost. For COCO detection, on Faster R-CNN, reverse attention improves box AP by 1.9%. Meanwhile, reverse attention improves UpperNet's mIoU by 0.7% on ADE20K segmentation.",Y,cc by
23,PMC10567481,10.1155/2023/9837126,Retracted: Emotional Intervention and Education System Construction for Rural Children Based on Semantic Analysis.,International OT.,2023,[This retracts the article DOI: 10.1155/2022/1073717.].,Y,cc by
24,PMC10821911,10.1038/s41598-024-52873-z,Effects of workbook training using editorials and newspaper articles in adults with preclinical stage of dementia.,"Jin S, Yoon JH, Na DL.",2024,"Early detection and intervention in individuals in the pre-clinical stage of dementia are crucial. This study aimed to examine whether there are significant differences in (1) word retrieval, (2) subjective communication ability, (3) intervention satisfaction through the 'Fill-in-the-blanks in editorial and newspaper articles' training in patients with subjective cognitive decline and mild cognitive impairment corresponding to the pre-clinical stage of dementia. Ninety-nine patients (50 in the intervention group and 49 in the control group) aged 50-84 years were administered pre- and post-test after 6 weeks of intervention (30 sessions). Regarding word retrieval, there were significant intervention effects on confrontation naming, semantic fluency, and phonemic fluency. The majority of participants in the intervention group were highly satisfied with the training. In terms of intervention satisfaction, the majority of the participants in the intervention group showed high satisfaction with all the questions. This result confirmed the improvement of word retrieval ability through mass communication content-based 'Fill-in-the-blanks' training, and ultimately helps to provide a clinical basis for applying this intervention to prevent dementia.",Y,cc by
25,PMC11178556,10.1007/s11548-024-03091-5,EndoViT: pretraining vision transformers on a large collection of endoscopic images.,"Batić D, Holm F, Özsoy E, Czempiel T, Navab N.",2024,"<h4>Purpose</h4>Automated endoscopy video analysis is essential for assisting surgeons during medical procedures, but it faces challenges due to complex surgical scenes and limited annotated data. Large-scale pretraining has shown great success in natural language processing and computer vision communities in recent years. These approaches reduce the need for annotated data, which is of great interest in the medical domain. In this work, we investigate endoscopy domain-specific self-supervised pretraining on large collections of data.<h4>Methods</h4>To this end, we first collect Endo700k, the largest publicly available corpus of endoscopic images, extracted from nine public Minimally Invasive Surgery (MIS) datasets. Endo700k comprises more than 700,000 images. Next, we introduce EndoViT, an endoscopy-pretrained Vision Transformer (ViT), and evaluate it on a diverse set of surgical downstream tasks.<h4>Results</h4>Our findings indicate that domain-specific pretraining with EndoViT yields notable advantages in complex downstream tasks. In the case of action triplet recognition, our approach outperforms ImageNet pretraining. In semantic segmentation, we surpass the state-of-the-art (SOTA) performance. These results demonstrate the effectiveness of our domain-specific pretraining approach in addressing the challenges of automated endoscopy video analysis.<h4>Conclusion</h4>Our study contributes to the field of medical computer vision by showcasing the benefits of domain-specific large-scale self-supervised pretraining for vision transformers. We release both our code and pretrained models to facilitate further research in this direction: https://github.com/DominikBatic/EndoViT .",Y,cc by
26,PMC10991757,10.3389/fpsyg.2024.1308098,"Measuring the menu, not the food: ""psychometric"" data may instead measure ""lingometrics"" (and miss its greatest potential).","Arnulf JK, Olsson UH, Nimon K.",2024,"This is a review of a range of empirical studies that use digital text algorithms to predict and model response patterns from humans to Likert-scale items, using texts only as inputs. The studies show that statistics used in construct validation is predictable on sample and individual levels, that this happens across languages and cultures, and that the relationship between variables are often semantic instead of empirical. That is, the relationships among variables are given a priori and evidently computable as such. We explain this by replacing the idea of ""nomological networks"" with ""semantic networks"" to designate computable relationships between abstract concepts. Understanding constructs as nodes in semantic networks makes it clear why psychological research has produced constant average explained variance at 42% since 1956. Together, these findings shed new light on the formidable capability of human minds to operate with fast and intersubjectively similar semantic processing. Our review identifies a categorical error present in much psychological research, measuring representations instead of the purportedly represented. We discuss how this has grave consequences for the empirical truth in research using traditional psychometric methods.",Y,cc by
27,PMC11076349,10.1007/s00701-024-06062-6,An update on tests used for intraoperative monitoring of cognition during awake craniotomy.,"de Zwart B, Ruis C.",2024,"<h4>Purpose</h4>Mapping higher-order cognitive functions during awake brain surgery is important for cognitive preservation which is related to postoperative quality of life. A systematic review from 2018 about neuropsychological tests used during awake craniotomy made clear that until 2017 language was most often monitored and that the other cognitive domains were underexposed (Ruis, J Clin Exp Neuropsychol 40(10):1081-1104, 218). The field of awake craniotomy and cognitive monitoring is however developing rapidly. The aim of the current review is therefore, to investigate whether there is a change in the field towards incorporation of new tests and more complete mapping of (higher-order) cognitive functions.<h4>Methods</h4>We replicated the systematic search of the study from 2018 in PubMed and Embase from February 2017 to November 2023, yielding 5130 potentially relevant articles. We used the artificial machine learning tool ASReview for screening and included 272 papers that gave a detailed description of the neuropsychological tests used during awake craniotomy.<h4>Results</h4>Comparable to the previous study of 2018, the majority of studies (90.4%) reported tests for assessing language functions (Ruis, J Clin Exp Neuropsychol 40(10):1081-1104, 218). Nevertheless, an increasing number of studies now also describe tests for monitoring visuospatial functions, social cognition, and executive functions.<h4>Conclusions</h4>Language remains the most extensively tested cognitive domain. However, a broader range of tests are now implemented during awake craniotomy and there are (new developed) tests which received more attention. The rapid development in the field is reflected in the included studies in this review. Nevertheless, for some cognitive domains (e.g., executive functions and memory), there is still a need for developing tests that can be used during awake surgery.",Y,cc by
28,PMC10874957,10.1038/s41598-024-54640-6,Transductive meta-learning with enhanced feature ensemble for few-shot semantic segmentation.,"Karimi A, Poullis C.",2024,"This paper addresses few-shot semantic segmentation and proposes a novel transductive end-to-end method that overcomes three key problems affecting performance. First, we present a novel ensemble of visual features learned from pretrained classification and semantic segmentation networks with the same architecture. Our approach leverages the varying discriminative power of these networks, resulting in rich and diverse visual features that are more informative than a pretrained classification backbone that is not optimized for dense pixel-wise classification tasks used in most state-of-the-art methods. Secondly, the pretrained semantic segmentation network serves as a base class extractor, which effectively mitigates false positives that occur during inference time and are caused by base objects other than the object of interest. Thirdly, a two-step segmentation approach using transductive meta-learning is presented to address the episodes with poor similarity between the support and query images. The proposed transductive meta-learning method addresses the prediction by first learning the relationship between labeled and unlabeled data points with matching support foreground to query features (intra-class similarity) and then applying this knowledge to predict on the unlabeled query image (intra-object similarity), which simultaneously learns propagation and false positive suppression. To evaluate our method, we performed experiments on benchmark datasets, and the results demonstrate significant improvement with minimal trainable parameters of 2.98M. Specifically, using Resnet-101, we achieve state-of-the-art performance for both 1-shot and 5-shot Pascal-[Formula: see text], as well as for 1-shot and 5-shot COCO-[Formula: see text].",Y,cc by
29,PMC10912646,10.1038/s41598-024-51793-2,The interplay of semantic and syntactic processing across hemispheres.,"Kim S, Nam K, Lee EH.",2024,"The current study investigated the hemispheric dynamics underlying semantic and syntactic priming in lexical decision tasks. Utilizing primed-lateralized paradigms, we observed a distinct pattern of semantic priming contingent on the priming hemisphere. The right hemisphere (RH) exhibited robust semantic priming irrespective of syntactic congruency between prime and target, underscoring its proclivity for semantic processing. Conversely, the left hemisphere (LH) demonstrated slower response times for semantically congruent yet syntactically incongruent word pairs, highlighting its syntactic processing specialization. Additionally, nonword data revealed a hemispheric divergence in syntactic processing, with the LH showing significant intrahemispheric syntactic priming. These findings illuminate the intrinsic hemispheric specializations for semantic and syntactic processing, offering empirical support for serial processing models. The study advances our understanding of the complex interplay between semantic and syntactic factors in hemispheric interactions.",Y,cc by
