anchor,a_text,target,t_text
clean_development_mechanism__cdm_,A mechanism defined under Article 12 of the  Kyoto Protocol  through which investors (governments or,clean_development_mechanism__cdm_,  Clean Development Mechanism (CDM)  A mechanism defined under Article 12 of the  Kyoto Protocol  th
climate,"Climate in a narrow sense is usually defined as the average weather, or more rigorously, as the stat",climate,"  Climate  Climate in a narrow sense is usually defined as the average weather, or more rigorously, "
climate_change,"Climate change refers to a change in the state of the  climate  that can be identified (e.g., by usi",climate_change,  Climate change  Climate change refers to a change in the state of the  climate  that can be identi
climate_change_commitment,Climate change commitment is defined as the unavoidable future  climate change  resulting from inert,climate_change_commitment,  Climate change commitment  Climate change commitment is defined as the unavoidable future  climate
climate-compatible_development__ccd_,A form of development building on climate strategies that embrace development goals and development ,climate-compatible_development__ccd_,  Climate-compatible development (CCD)  A form of development building on climate strategies that em
climate_extreme__extreme_weather_or_climate_event_,The occurrence of a value of a weather or  climate  variable above (or below) a threshold value near,climate_extreme__extreme_weather_or_climate_event_,  Climate extreme (extreme weather or climate event)  The occurrence of a value of a weather or  cli
climate_feedback,An interaction in which a perturbation in one  climate  quantity causes a change in a second and the,climate_feedback,  Climate feedback  An interaction in which a perturbation in one  climate  quantity causes a change
climate_governance,See  Governance .,climate_governance,  Climate governance  See  Governance .
climate_justice,See  Justice .,climate_justice,  Climate justice  See  Justice .
climate_model,"A numerical representation of the  climate system  based on the physical, chemical and biological pr",climate_model,"  Climate model  A numerical representation of the  climate system  based on the physical, chemical "
climate_neutrality,Concept of a state in which human activities result in no net effect on the  climate system . Achiev,climate_neutrality,  Climate neutrality  Concept of a state in which human activities result in no net effect on the  c
climate_projection,A climate  projection  is the simulated response models . Climate projections are distinguished from,climate_projection,  Climate projection  A climate  projection  is the simulated response models . Climate projections 
climate-resilient_development_pathways__crdps_,Trajectories that strengthen  sustainable development  and efforts to eradicate  poverty  and reduce,climate-resilient_development_pathways__crdps_,  Climate-resilient development pathways (CRDPs)  Trajectories that strengthen  sustainable developm
climate-resilient_pathways,Iterative processes for managing change within complex systems in order to reduce disruptions and en,climate-resilient_pathways,  Climate-resilient pathways  Iterative processes for managing change within complex systems in orde
climate_sensitivity,Climate sensitivity refers to the change in the annual  global mean surface temperature  in response,climate_sensitivity,  Climate sensitivity  Climate sensitivity refers to the change in the annual  global mean surface t
climate_services,Climate services refers to information and products that enhance users’ knowledge and understanding ,climate_services,  Climate services  Climate services refers to information and products that enhance users’ knowledg
climate-smart_agriculture__csa_,Climate-smart agriculture (CSA) is an approach that helps to guide actions needed to transform and r,climate-smart_agriculture__csa_,  Climate-smart agriculture (CSA)  Climate-smart agriculture (CSA) is an approach that helps to guid
climate_system,The climate system is the highly complex system ,climate_system,  Climate system  The climate system is the highly complex system 
climate_target,"Climate target refers to a temperature limit, concentration level, or emissions reduction goal used ",climate_target,"  Climate target  Climate target refers to a temperature limit, concentration level, or emissions re"
climate_variability,Climate variability refers to variations in the mean state and other statistics (such as standard de,climate_variability,  Climate variability  Climate variability refers to variations in the mean state and other statisti
co,2 equivalent (CO 2 -eq) emission  The amount of  carbon dioxide (CO 2 )  emission that would cause t,co,  CO 2 equivalent (CO 2 -eq) emission  The amount of  carbon dioxide (CO 2 )  emission that would ca
co-benefits,"The positive effects that a policy or measure aimed at one objective might have on other objectives,",co-benefits,  Co-benefits  The positive effects that a policy or measure aimed at one objective might have on ot
common_but_differentiated_responsibilities_and_respective_capabilities__cbdr-rc_,Common but Differentiated Responsibilities and Respective Capabilities (CBDR–RC) is a key principle ,common_but_differentiated_responsibilities_and_respective_capabilities__cbdr-rc_,  Common but Differentiated Responsibilities and Respective Capabilities (CBDR-RC)  Common but Diffe
conference_of_the_parties__cop_,"The supreme body of UN conventions, such as the  United Nations Framework Convention on Climate Chan",conference_of_the_parties__cop_,"  Conference of the Parties (COP)  The supreme body of UN conventions, such as the  United Nations F"
confidence,"The robustness of a finding based on the type, amount, quality and consistency of  evidence  (e.g., ",confidence,"  Confidence  The robustness of a finding based on the type, amount, quality and consistency of  evi"
conservation_agriculture,A coherent group of agronomic and soil management practices that reduce the disruption of soil struc,conservation_agriculture,  Conservation agriculture  A coherent group of agronomic and soil management practices that reduce 
constant_composition_commitment,See  Climate change commitment .,constant_composition_commitment,  Constant composition commitment  See  Climate change commitment .
constant_emissions_commitment,See  Climate change commitment .,constant_emissions_commitment,  Constant emissions commitment  See  Climate change commitment .
coping_capacity,"The ability of people,  institutions , organizations, and systems, using available skills, values, b",coping_capacity,"  Coping capacity  The ability of people,  institutions , organizations, and systems, using availabl"
cost–benefit_analysis,Monetary assessment of all negative and positive impacts associated with a given action. Cost–benefi,cost–benefit_analysis,  Cost–benefit analysis  Monetary assessment of all negative and positive impacts associated with a 
cost-effectiveness,A measure of the cost at which policy goal or outcome is achieved. The lower the cost the greater th,cost-effectiveness,  Cost-effectiveness  A measure of the cost at which policy goal or outcome is achieved. The lower t
coupled_model_intercomparison_project__cmip_,The Coupled Model Intercomparison Project (CMIP) is a climate modelling activity from the World Clim,coupled_model_intercomparison_project__cmip_,  Coupled Model Intercomparison Project (CMIP)  The Coupled Model Intercomparison Project (CMIP) is 
cumulative_emissions,"The total amount of emissions released over a specified period of time. See also  Carbon budget , an",cumulative_emissions,  Cumulative emissions  The total amount of emissions released over a specified period of time. See 
decarbonization,"The process by which countries, individuals or other entities aim to achieve zero fossil carbon exis",decarbonization,"  Decarbonization  The process by which countries, individuals or other entities aim to achieve zero"
decoupling,Decoupling (in relation to  climate change ) is where economic growth is no longer strongly associat,decoupling,  Decoupling  Decoupling (in relation to  climate change ) is where economic growth is no longer str
deforestation,Conversion of  forest  to non-forest. For a discussion of the term forest and related terms such as ,deforestation,  Deforestation  Conversion of  forest  to non-forest. For a discussion of the term forest and relat
deliberative_governance,See  Governance .,deliberative_governance,  Deliberative governance  See  Governance .
demand-side_measures,See  Demand- and supply-side measures .,demand-side_measures,  Demand-side measures  See  Demand- and supply-side measures .
detection,See  Detection and attribution .,detection,  Detection  See  Detection and attribution .
detection_and_attribution,Detection of change is defined as the process of demonstrating that  climate  or a system affected b,detection_and_attribution,  Detection and attribution  Detection of change is defined as the process of demonstrating that  cl
development_pathways,See  Pathways .,development_pathways,  Development pathways  See  Pathways .
direct_air_carbon_dioxide_capture_and_storage__daccs_,"Chemical process by which  CO 2 is captured directly from the ambient air, with subsequent storage. ",direct_air_carbon_dioxide_capture_and_storage__daccs_,  Direct air carbon dioxide capture and storage (DACCS)  Chemical process by which  CO 2 is captured
disaster,Severe alterations in the normal functioning of a community or a society due to hazardous physical e,disaster,  Disaster  Severe alterations in the normal functioning of a community or a society due to hazardou
disaster_risk_management__drm_,"Processes for designing, implementing, and evaluating strategies, policies, and measures to improve ",disaster_risk_management__drm_,"  Disaster risk management (DRM)  Processes for designing, implementing, and evaluating strategies, "
discount_rate,See  Discounting .,discount_rate,  Discount rate  See  Discounting .
discounting,A mathematical operation that aims to make monetary (or other) amounts received or expended at diffe,discounting,  Discounting  A mathematical operation that aims to make monetary (or other) amounts received or ex
_internal__displacement,Internal displacement refers to the forced movement of people within the country they live in. Inter,_internal__displacement,  (Internal) Displacement  Internal displacement refers to the forced movement of people within the 
distributive_equity,See  Equity .,distributive_equity,  Distributive equity  See  Equity .
distributive_justice,See  Justice .,distributive_justice,  Distributive justice  See  Justice .
double_dividend,"The extent to which revenues generated by  policy  instruments, such as carbon taxes or auctioned (t",double_dividend,"  Double dividend  The extent to which revenues generated by  policy  instruments, such as carbon ta"
downscaling,Downscaling is a method that derives local- to regional-scale (up to 100 km) information from larger,downscaling,  Downscaling   Downscaling is a method that derives local- to regional-scale (up to 100 km) informa
drought,A period of abnormally dry weather long enough to cause a serious hydrological imbalance. Drought is,drought,  Drought  A period of abnormally dry weather long enough to cause a serious hydrological imbalance.
early_warning_systems__ews_,"The set of technical, financial and  institutional capacities  needed to generate and disseminate ti",early_warning_systems__ews_,"  Early warning systems (EWS)  The set of technical, financial and  institutional capacities  needed"
earth_system_feedbacks,See  Climate feedback .,earth_system_feedbacks,  Earth system feedbacks  See  Climate feedback .
earth_system_model__esm_,A coupled atmosphere–ocean general circulation model in which a representation of the  carbon cycle ,earth_system_model__esm_,  Earth system model (ESM)  A coupled atmosphere–ocean general circulation model in which a represen
ecosystem_services,Ecological processes or functions having monetary or non-monetary value to individuals or society at,ecosystem_services,  Ecosystem services  Ecological processes or functions having monetary or non-monetary value to ind
effective_climate_sensitivity,See  Climate sensitivity .,effective_climate_sensitivity,  Effective climate sensitivity  See  Climate sensitivity .
effective_radiative_forcing,See  Radiative forcing .,effective_radiative_forcing,  Effective radiative forcing  See  Radiative forcing .
el_niño-southern_oscillation__enso_,The term El Niño was initially used to describe a warm-water current that periodically flows along t,el_niño-southern_oscillation__enso_,  El Niño-Southern Oscillation (ENSO)  The term El Niño was initially used to describe a warm-water 
electric_vehicle__ev_,A vehicle whose propulsion is powered fully or mostly by electricity. ,electric_vehicle__ev_,  Electric vehicle (EV)  A vehicle whose propulsion is powered fully or mostly by electricity. 
emission_pathways,See  Pathways .,emission_pathways,  Emission pathways  See  Pathways .
emission_scenario,A plausible representation of the future development of emissions of substances that are radiatively,emission_scenario,  Emission scenario  A plausible representation of the future development of emissions of substances
emissions_trading,A market-based instrument aiming at meeting a  mitigation  objective in an efficient way. A cap on  ,emissions_trading,  Emissions trading  A market-based instrument aiming at meeting a  mitigation  objective in an effi
enabling_conditions,"Conditions that affect the  feasibility  of  adaptation  and  mitigation  options, and can accelerat",enabling_conditions,  Enabling conditions  Conditions that affect the  feasibility  of  adaptation  and  mitigation  opt
energy_efficiency,The ratio of output or useful energy or energy services or other useful physical outputs obtained fr,energy_efficiency,  Energy efficiency  The ratio of output or useful energy or energy services or other useful physica
energy_security,"The goal of a given country, or the global community as a whole, to maintain an adequate, stable and",energy_security,"  Energy security  The goal of a given country, or the global community as a whole, to maintain an a"
enhanced_weathering,Enhancing the removal of  carbon dioxide (CO 2 )  from the  atmosphere  through dissolution of silic,enhanced_weathering,  Enhanced weathering  Enhancing the removal of  carbon dioxide (CO 2 )  from the  atmosphere  throu
_model__ensemble,"A group of parallel model simulations characterising historical  climate  conditions,  climate predi",_model__ensemble,  (Model) Ensemble  A group of parallel model simulations characterising historical  climate  condit
equality,"A principle that ascribes equal worth to all human beings, including equal opportunities, rights, an",equality,"  Equality  A principle that ascribes equal worth to all human beings, including equal opportunities"
equilibrium_climate_sensitivity,See  Climate sensitivity .,equilibrium_climate_sensitivity,  Equilibrium climate sensitivity  See  Climate sensitivity .
equity,Equity is the principle of  fairness  in burden sharing and is a basis for understanding how the  im,equity,  Equity  Equity is the principle of  fairness  in burden sharing and is a basis for understanding h
ethics,"Ethics involves questions of  justice  and value. Justice is concerned with right and wrong,  equity",ethics,  Ethics  Ethics involves questions of  justice  and value. Justice is concerned with right and wron
evidence,"Data and information used in the scientific process to establish findings. In this report, the degre",evidence,  Evidence  Data and information used in the scientific process to establish findings. In this repor
exposure,"The presence of people;  livelihoods ; species or  ecosystems ; environmental functions, services, a",exposure,"  Exposure  The presence of people;  livelihoods ; species or  ecosystems ; environmental functions,"
extreme_weather_event,An extreme weather event is an event that is rare at a particular place and time of year. Definition,extreme_weather_event,  Extreme weather event  An extreme weather event is an event that is rare at a particular place and
extreme_weather_or_climate_event,See  Climate extreme (extreme weather or climate event) .,extreme_weather_or_climate_event,  Extreme weather or climate event  See  Climate extreme (extreme weather or climate event) .
fairness,Impartial and just treatment without favouritism or discrimination in which each person is considere,fairness,  Fairness  Impartial and just treatment without favouritism or discrimination in which each person 
feasibility,The degree to which climate goals and response options are considered possible and/or desirable. Fea,feasibility,  Feasibility  The degree to which climate goals and response options are considered possible and/or
feasible_scenario_commitment,See  Climate change commitment .,feasible_scenario_commitment,  Feasible scenario commitment  See  Climate change commitment .
feedback,See  Climate feedback .,feedback,  Feedback  See  Climate feedback .
flexible_governance,See  Governance .,flexible_governance,  Flexible governance  See  Governance .
flood,"The overflowing of the normal confines of a stream or other body of water, or the accumulation of wa",flood,"  Flood  The overflowing of the normal confines of a stream or other body of water, or the accumulat"
food_security,"A situation that exists when all people, at all times, have physical, social and economic access to ",food_security,"  Food security  A situation that exists when all people, at all times, have physical, social and ec"
food_wastage,Food wastage encompasses food loss (the loss of food during production and transportation) and food ,food_wastage,  Food wastage  Food wastage encompasses food loss (the loss of food during production and transport
forcing,See  Radiative forcing .,forcing,  Forcing  See  Radiative forcing .
forest,A vegetation type dominated by trees. Many definitions of the term forest are in use throughout the ,forest,  Forest  A vegetation type dominated by trees. Many definitions of the term forest are in use throu
fossil_fuels,"Carbon-based fuels from fossil hydrocarbon deposits, including coal, oil, and natural gas.",fossil_fuels,"  Fossil fuels  Carbon-based fuels from fossil hydrocarbon deposits, including coal, oil, and natura"
gender_equity,See  Equity .,gender_equity,  Gender equity  See  Equity .
general_purpose_technologies__gpt_,General purpose technologies can be or are used pervasively in a wide range of sectors in ways that ,general_purpose_technologies__gpt_,  General purpose technologies (GPT)  General purpose technologies can be or are used pervasively in
geoengineering,"In this report, separate consideration is given to the two main approaches considered as ‘geoenginee",geoengineering,"  Geoengineering  In this report, separate consideration is given to the two main approaches conside"
glacier,"A perennial mass of ice, and possibly firn and snow, originating on the land surface by the recrysta",glacier,"  Glacier  A perennial mass of ice, and possibly firn and snow, originating on the land surface by t"
global_climate_model__also_referred_to_as_general_circulation_model__both_abbreviated_as_gcm_,See  Climate model .,global_climate_model__also_referred_to_as_general_circulation_model__both_abbreviated_as_gcm_,"  Global climate model (also referred to as general circulation model, both abbreviated as GCM)  See"
global_mean_surface_temperature__gmst_,"Estimated global average of near-surface air temperatures over land and sea-ice, and  sea surface te",global_mean_surface_temperature__gmst_,  Global mean surface temperature (GMST)  Estimated global average of near-surface air temperatures 
global_mean_surface_air_temperature__gsat_,Global average of near-surface air temperatures over land and oceans. Changes in GSAT are often used,global_mean_surface_air_temperature__gsat_,  Global mean surface air temperature (GSAT)  Global average of near-surface air temperatures over l
global_warming,"The estimated increase in  global mean surface temperature (GMST)  averaged over a 30-year period, o",global_warming,  Global warming  The estimated increase in  global mean surface temperature (GMST)  averaged over a
governance,"A comprehensive and inclusive concept of the full range of means for deciding, managing, implementin",governance,"  Governance  A comprehensive and inclusive concept of the full range of means for deciding, managin"
governance_capacity,See  Governance .,governance_capacity,  Governance capacity  See  Governance .
green_infrastructure,"The interconnected set of natural and constructed ecological systems, green spaces and other landsca",green_infrastructure,"  Green infrastructure  The interconnected set of natural and constructed ecological systems, green "
greenhouse_gas__ghg_,"Greenhouse gases are those gaseous constituents of the  atmosphere , both natural and  anthropogenic",greenhouse_gas__ghg_,"  Greenhouse gas (GHG)  Greenhouse gases are those gaseous constituents of the  atmosphere , both na"
greenhouse_gas_removal__ggr_,Withdrawal of a  GHG  and/or a  precursor  from the  atmosphere  by a  sink . See also  Carbon dioxi,greenhouse_gas_removal__ggr_,  Greenhouse gas removal (GGR)  Withdrawal of a  GHG  and/or a  precursor  from the  atmosphere  by 
gross_domestic_product__gdp_,"The sum of gross value added, at purchasers’ prices, by all resident and non-resident producers in t",gross_domestic_product__gdp_,"  Gross domestic product (GDP)  The sum of gross value added, at purchasers’ prices, by all resident"
gross_fixed_capital_formation__gfcf_,"One component of the  GDP  that corresponds to the total value of acquisitions, minus disposals of f",gross_fixed_capital_formation__gfcf_,  Gross fixed capital formation (GFCF)  One component of the  GDP  that corresponds to the total val
halocarbons,"A collective term for the group of partially halogenated organic species, which includes the chlorof",halocarbons,"  Halocarbons  A collective term for the group of partially halogenated organic species, which inclu"
hazard,The potential occurrence of a natural or human-induced physical event or trend that may cause loss o,hazard,  Hazard  The potential occurrence of a natural or human-induced physical event or trend that may ca
heatwave,A period of abnormally hot weather. Heatwaves and warm spells have various and in some cases overlap,heatwave,  Heatwave  A period of abnormally hot weather. Heatwaves and warm spells have various and in some c
heating__ventilation__and_air_conditioning__hvac_,"Heating, ventilation and air conditioning technology is used to control temperature and humidity in ",heating__ventilation__and_air_conditioning__hvac_,"  Heating, ventilation, and air conditioning (HVAC)  Heating, ventilation and air conditioning techn"
holocene,"The Holocene is the current interglacial geological epoch, the second of two epochs within the Quate",holocene,"  Holocene  The Holocene is the current interglacial geological epoch, the second of two epochs with"
human_behaviour,The way in which a person acts in response to a particular situation or stimulus. Human actions are ,human_behaviour,  Human behaviour  The way in which a person acts in response to a particular situation or stimulus.
human_behavioural_change,A transformation or modification of human actions. Behaviour change efforts can be planned in ways t,human_behavioural_change,  Human behavioural change  A transformation or modification of human actions. Behaviour change effo
human_rights,"Rights that are inherent to all human beings, universal, inalienable, and indivisible, typically exp",human_rights,"  Human rights  Rights that are inherent to all human beings, universal, inalienable, and indivisibl"
human_security,"A condition that is met when the vital core of human lives is protected, and when people have the fr",human_security,"  Human security  A condition that is met when the vital core of human lives is protected, and when "
human_system,"Any system in which human organizations and  institutions  play a major role. Often, but not always,",human_system,"  Human system  Any system in which human organizations and  institutions  play a major role. Often,"
hydrological_cycle,"The cycle in which water evaporates from the oceans and the land surface, is carried over the earth ",hydrological_cycle,"  Hydrological cycle  The cycle in which water evaporates from the oceans and the land surface, is c"
ice_sheet,A mass of land ice of continental size that is sufficiently thick to cover most of the underlying be,ice_sheet,  Ice sheet  A mass of land ice of continental size that is sufficiently thick to cover most of the 
_climate_change__impact_assessment,"The practice of identifying and evaluating, in monetary and/or non-monetary terms, the effects of  c",_climate_change__impact_assessment,"  (climate change) Impact assessment  The practice of identifying and evaluating, in monetary and/or"
impacts__consequences__outcomes_,"The consequences of realized risks on natural and  human systems , where risks result from the inter",impacts__consequences__outcomes_,"  Impacts (consequences, outcomes)  The consequences of realized risks on natural and  human systems"
incremental_adaptation,See  Adaptation .,incremental_adaptation,  Incremental adaptation  See  Adaptation .
indigenous_knowledge,"Indigenous knowledge refers to the understandings, skills and philosophies developed by societies wi",indigenous_knowledge,"  Indigenous knowledge  Indigenous knowledge refers to the understandings, skills and philosophies d"
indirect_land-use_change__iluc_,See  Land-use change (LUC) .,indirect_land-use_change__iluc_,  Indirect land-use change (iLUC)  See  Land-use change (LUC) .
industrial_revolution,"A period of rapid industrial growth with far-reaching social and economic consequences, beginning in",industrial_revolution,  Industrial revolution  A period of rapid industrial growth with far-reaching social and economic c
industrialized_developed_developing_countries,There are a diversity of approaches for categorizing countries on the basis of their level of develo,industrialized_developed_developing_countries,  Industrialized/developed/developing countries  There are a diversity of approaches for categorizin
inequality,See Equality.,inequality,  Inequality  See Equality.
information_and_communication_technology__ict_,"An umbrella term that includes any information and communication device or application, encompassing",information_and_communication_technology__ict_,  Information and communication technology (ICT)  An umbrella term that includes any information and
infrastructure_commitment,See  Climate change commitment .,infrastructure_commitment,  Infrastructure commitment  See  Climate change commitment .
institution,"Institutions are rules and norms held in common by social actors that guide, constrain and shape hum",institution,"  Institution  Institutions are rules and norms held in common by social actors that guide, constrai"
institutional_capacity,Institutional  capacity comprises building and strengthening individual organizations and providing ,institutional_capacity,  Institutional capacity  Institutional  capacity comprises building and strengthening individual or
integrated_assessment,"A method of analysis that combines results and models from the physical, biological, economic and so",integrated_assessment,"  Integrated assessment  A method of analysis that combines results and models from the physical, bi"
integrated_assessment_model__iam_,Integrated assessment models (IAMs) integrate knowledge from two or more domains into a single frame,integrated_assessment_model__iam_,  Integrated assessment model (IAM)  Integrated assessment models (IAMs) integrate knowledge from tw
integrated_water_resources_management__iwrm_,"A process which promotes the coordinated development and management of water, land and related resou",integrated_water_resources_management__iwrm_,  Integrated water resources management (IWRM)  A process which promotes the coordinated development
