anchor,a_text,target,t_text
adaptation_deficit,The gap between the current state of a system and a state that minimises adverse  impacts  from exis,climate,"  Climate In a narrow sense,  climate  is usually defined as the average weather -or more rigorously"
autonomous_adaptation,"Adaptation  in response to experienced  climate  and its effects, without planning explicitly or con",climate,"  Climate In a narrow sense,  climate  is usually defined as the average weather -or more rigorously"
autonomous_adaptation,"Adaptation  in response to experienced  climate  and its effects, without planning explicitly or con",climate,"  Climate In a narrow sense,  climate  is usually defined as the average weather -or more rigorously"
community-based_adaptation,"Local, community-driven  adaptation .  Community-based adaptation  focuses attention on empowering a",community-based_adaptation,"  Community-based adaptation Local, community-driven  adaptation .  Community-based adaptation  focu"
community-based_adaptation,"Local, community-driven  adaptation .  Community-based adaptation  focuses attention on empowering a",community-based_adaptation,  Community-based adaptation See  Adaptation .
ecosystem-based_adaptation__eba_,The use of  ecosystem  management activities to increase the  resilience  and reduce the  vulnerabil,ecosystem,"  Ecosystem A functional unit consisting of living organisms, their non-living environment and the i"
ecosystem-based_adaptation__eba_,The use of  ecosystem  management activities to increase the  resilience  and reduce the  vulnerabil,resilience,"  Resilience The capacity of interconnected social, economic and ecological systems to cope with a h"
ecosystem-based_adaptation__eba_,The use of  ecosystem  management activities to increase the  resilience  and reduce the  vulnerabil,climate_change,"  Climate change A change in the state of the  climate  that can be identified (e.g., by using or lo"
incremental_adaptation,Adaptation  that maintains the essence and integrity of a system or process at a given scale (Park e,incremental_adaptation,  Incremental adaptation Adaptation  that maintains the essence and integrity of a system or process
incremental_adaptation,Adaptation  that maintains the essence and integrity of a system or process at a given scale (Park e,incremental_adaptation,  Incremental adaptation See  Adaptation .
incremental_adaptation,Adaptation  that maintains the essence and integrity of a system or process at a given scale (Park e,transformational_adaptation,  Transformational adaptation Adaptation  that changes the fundamental attributes of a  social-ecolo
incremental_adaptation,Adaptation  that maintains the essence and integrity of a system or process at a given scale (Park e,transformational_adaptation,  Transformational adaptation See  Adaptation .
incremental_adaptation,Adaptation  that maintains the essence and integrity of a system or process at a given scale (Park e,climate,"  Climate In a narrow sense,  climate  is usually defined as the average weather -or more rigorously"
transformational_adaptation,Adaptation  that changes the fundamental attributes of a  social-ecological system  in anticipation ,climate,"  Climate In a narrow sense,  climate  is usually defined as the average weather -or more rigorously"
transformational_adaptation,Adaptation  that changes the fundamental attributes of a  social-ecological system  in anticipation ,impacts,"  Impacts The consequences of realised  risks  on  natural  and  human systems , where  risks  resul"
adaptive_capacity,"The ability of systems,  institutions , humans and other organisms to adjust to potential damage, to",institutions,"  Institutions Rules, norms and conventions that guide, constrain or enable human behaviours and pra"
adaptive_governance,See  Governance .,governance,"  Governance The structures, processes and actions through which private and public actors interact "
adaptive_management,"A process of iteratively planning, implementing and modifying strategies for managing resources in t",uncertainty,  Uncertainty A state of incomplete knowledge that can result from a lack of information 
aerosol,"A suspension of airborne solid or liquid particles, with typical particle size in the range of a few",anthropogenic,  Anthropogenic Resulting from or produced by human activities.
aerosol,"A suspension of airborne solid or liquid particles, with typical particle size in the range of a few",precursors,"  Precursors Atmospheric compounds that are not  greenhouse gases (GHGs)  or  aerosols , but that ha"
aerosol,"A suspension of airborne solid or liquid particles, with typical particle size in the range of a few",particulate_matter__pm_,  Particulate matter (PM) Atmospheric aerosol involved in air pollution issues. Of greatest concern 
afforestation,Conversion to  forest  of  land  that historically has not contained  forests . See also  Deforestat,forest,  Forest A vegetation type dominated by trees. Many definitions of the term  forest  are in use thro
afforestation,Conversion to  forest  of  land  that historically has not contained  forests . See also  Deforestat,land,"  Land The terrestrial portion of the  biosphere  that comprises the natural resources (soil, near-s"
afforestation,Conversion to  forest  of  land  that historically has not contained  forests . See also  Deforestat,deforestation,  Deforestation Conversion of  forest  to non-forest. See also  Afforestation  and  Refor- estation 
afforestation,Conversion to  forest  of  land  that historically has not contained  forests . See also  Deforestat,forest,  Forest A vegetation type dominated by trees. Many definitions of the term  forest  are in use thro
afforestation,Conversion to  forest  of  land  that historically has not contained  forests . See also  Deforestat,afforestation,  Afforestation Conversion to  forest  of  land  that historically has not contained  forests . See 
afforestation,Conversion to  forest  of  land  that historically has not contained  forests . See also  Deforestat,reforestation,  Reforestation Conversion to  forest  of land that has previously contained  forests  but that has 
afforestation,Conversion to  forest  of  land  that historically has not contained  forests . See also  Deforestat,deforestation,  Deforestation Conversion of  forest  to non-forest. See also  Afforestation  and  Refor- estation 
agreement,"In this report, the degree of  agreement  within the scientific body of knowledge on a particular fi",agreement,"  Agreement In this report, the degree of  agreement  within the scientific body of knowledge on a p"
agreement,"In this report, the degree of  agreement  within the scientific body of knowledge on a particular fi",evidence,  Evidence Data and information used in the scientific process to establish findings. In this report
agreement,"In this report, the degree of  agreement  within the scientific body of knowledge on a particular fi",models,  Models Structured imitations of a system’s attributes and mechanisms to mimic the appearance or fu
agreement,"In this report, the degree of  agreement  within the scientific body of knowledge on a particular fi",confidence,"  Confidence The robustness of a finding based on the type, amount, quality and consistency of  evid"
agreement,"In this report, the degree of  agreement  within the scientific body of knowledge on a particular fi",evidence,  Evidence Data and information used in the scientific process to establish findings. In this report
agreement,"In this report, the degree of  agreement  within the scientific body of knowledge on a particular fi",likelihood,"  Likelihood The chance of a specific outcome occurring, where this might be estimated probabilistic"
agreement,"In this report, the degree of  agreement  within the scientific body of knowledge on a particular fi",uncertainty,  Uncertainty A state of incomplete knowledge that can result from a lack of information 
agricultural_and_ecological_drought,See  Drought .,drought,  Drought An exceptional period of water shortage for existing  ecosystems  and the human population
agroecology,"The science and practice of applying ecological concepts, principles and knowledge (i.e., the intera",agroecology,"  Agroecology The science and practice of applying ecological concepts, principles and knowledge (i."
agroecology,"The science and practice of applying ecological concepts, principles and knowledge (i.e., the intera",agroecology,"  Agroecology The science and practice of applying ecological concepts, principles and knowledge (i."
air_pollution,Degradation of air quality with negative effects on human  health  or the natural or built environme,health,"  Health Health  is a state of complete physical, mental and social  well-being  and not merely the "
air_pollution,Degradation of air quality with negative effects on human  health  or the natural or built environme,atmosphere,"  Atmosphere The gaseous envelope surrounding the Earth, divided into five layers: the troposphere, "
albedo,"The proportion of sunlight (solar radiation) reflected by a surface or object, often expressed as a ",albedo,"  Albedo The proportion of sunlight (solar radiation) reflected by a surface or object, often expres"
albedo,"The proportion of sunlight (solar radiation) reflected by a surface or object, often expressed as a ",albedo,"  Albedo The proportion of sunlight (solar radiation) reflected by a surface or object, often expres"
albedo,"The proportion of sunlight (solar radiation) reflected by a surface or object, often expressed as a ",albedo,"  Albedo The proportion of sunlight (solar radiation) reflected by a surface or object, often expres"
albedo,"The proportion of sunlight (solar radiation) reflected by a surface or object, often expressed as a ",ocean,"  Ocean The interconnected body of saline water that covers 71% of the Earth’s surface, contains 97%"
albedo,"The proportion of sunlight (solar radiation) reflected by a surface or object, often expressed as a ",albedo,"  Albedo The proportion of sunlight (solar radiation) reflected by a surface or object, often expres"
albedo,"The proportion of sunlight (solar radiation) reflected by a surface or object, often expressed as a ",albedo,"  Albedo The proportion of sunlight (solar radiation) reflected by a surface or object, often expres"
albedo,"The proportion of sunlight (solar radiation) reflected by a surface or object, often expressed as a ",land_cover,"  Land cover The biophysical coverage of  land  (e.g., bare soil, rocks,  forests , buildings and ro"
anomaly,The deviation of a variable from its value averaged over a  reference period .,reference_period,"  Reference period A time period of interest, or a period over which some relevant statistics are ca"
anthropocene,A proposed new geological epoch resulting from significant human-driven changes to the structure and,climate_system,"  Climate system The global system consisting of five major components: the  atmosphere , the hydros"
anthropocene,A proposed new geological epoch resulting from significant human-driven changes to the structure and,evidence,  Evidence Data and information used in the scientific process to establish findings. In this report
anthropocene,A proposed new geological epoch resulting from significant human-driven changes to the structure and,anthropocene,  Anthropocene A proposed new geological epoch resulting from significant human-driven changes to th
anthropocene,A proposed new geological epoch resulting from significant human-driven changes to the structure and,anthropocene,  Anthropocene A proposed new geological epoch resulting from significant human-driven changes to th
aridity,The state of a long-term climatic feature characterised by low average precipitation or available wa,region,  Region A  land  and/or  ocean  area characterised by specific geographical and/or climatological f
aridity,The state of a long-term climatic feature characterised by low average precipitation or available wa,aridity,  Aridity The state of a long-term climatic feature characterised by low average precipitation or av
aridity,The state of a long-term climatic feature characterised by low average precipitation or available wa,drought,  Drought An exceptional period of water shortage for existing  ecosystems  and the human population
atmosphere,"The gaseous envelope surrounding the Earth, divided into five layers: the troposphere, which contain",atmosphere,"  Atmosphere The gaseous envelope surrounding the Earth, divided into five layers: the troposphere, "
atmosphere,"The gaseous envelope surrounding the Earth, divided into five layers: the troposphere, which contain",atmosphere,"  Atmosphere The gaseous envelope surrounding the Earth, divided into five layers: the troposphere, "
atmosphere,"The gaseous envelope surrounding the Earth, divided into five layers: the troposphere, which contain",atmosphere,"  Atmosphere The gaseous envelope surrounding the Earth, divided into five layers: the troposphere, "
atmosphere,"The gaseous envelope surrounding the Earth, divided into five layers: the troposphere, which contain",carbon_dioxide__co,"  Carbon dioxide (CO 2 ) A naturally occurring gas, CO 2 is also a by-product of burning  fossil fue"
atmosphere,"The gaseous envelope surrounding the Earth, divided into five layers: the troposphere, which contain",carbon_dioxide__co,  Carbon dioxide (CO 2 ) fertilisation The increase of plant  photosynthesis  and  water-use efficie
atmosphere,"The gaseous envelope surrounding the Earth, divided into five layers: the troposphere, which contain",ozone__o,"  Ozone (O 3 ) The triatomic form of oxygen, and a gaseous atmospheric constituent. In the troposphe"
atmosphere,"The gaseous envelope surrounding the Earth, divided into five layers: the troposphere, which contain",atmosphere,"  Atmosphere The gaseous envelope surrounding the Earth, divided into five layers: the troposphere, "
atmosphere,"The gaseous envelope surrounding the Earth, divided into five layers: the troposphere, which contain",atmosphere,"  Atmosphere The gaseous envelope surrounding the Earth, divided into five layers: the troposphere, "
atmosphere,"The gaseous envelope surrounding the Earth, divided into five layers: the troposphere, which contain",hydrological_cycle,"  Hydrological cycle The cycle in which water evaporates from the  ocean  and the  land  surface, is"
attribution,Attribution  is defined as the process of evaluating the relative contributions of multiple causal f,attribution,  Attribution Attribution  is defined as the process of evaluating the relative contributions of mul
attribution,Attribution  is defined as the process of evaluating the relative contributions of multiple causal f,confidence,"  Confidence The robustness of a finding based on the type, amount, quality and consistency of  evid"
behavioural_change,"In this report,  behavioural change  refers to alteration of human decisions and actions in ways tha",behavioural_change,"  Behavioural change In this report,  behavioural change  refers to alteration of human decisions an"
behavioural_change,"In this report,  behavioural change  refers to alteration of human decisions and actions in ways tha",climate,"  Climate In a narrow sense,  climate  is usually defined as the average weather -or more rigorously"
benthos,The community of organisms living on the bottom or in sediments of a body of water (such as an  ocea,ocean,"  Ocean The interconnected body of saline water that covers 71% of the Earth’s surface, contains 97%"
biodiversity,Biodiversity  or biological diversity means the variability among living organisms from all sources ,biodiversity,  Biodiversity Biodiversity  or biological diversity means the variability among living organisms fr
biodiversity,Biodiversity  or biological diversity means the variability among living organisms from all sources ,ecosystem,"  Ecosystem A functional unit consisting of living organisms, their non-living environment and the i"
biodiversity,Biodiversity  or biological diversity means the variability among living organisms from all sources ,ecosystem_services,  Ecosystem services Ecological processes or functions having monetary or non-monetary value to indi
biodiversity_hotspots,"Biodiversity hotspots  are geographic areas exceptionally rich in species, ecologically distinct, an",biodiversity_hotspots,"  Biodiversity hotspots Biodiversity hotspots  are geographic areas exceptionally rich in species, e"
biodiversity_hotspots,"Biodiversity hotspots  are geographic areas exceptionally rich in species, ecologically distinct, an",endemic_species,  Endemic species Plants and animals that are only found in one geographic region.
bioenergy,Energy derived from any form of  biomass  or its metabolic by-products. See also  Biofuel  and  Biom,biomass,  Biomass Organic material excluding the material that is fossilised or embedded in geological forma
bioenergy,Energy derived from any form of  biomass  or its metabolic by-products. See also  Biofuel  and  Biom,biofuel,"  Biofuel A fuel, generally in liquid form, produced from  biomass .  Biofuels  include bioethanol f"
bioenergy,Energy derived from any form of  biomass  or its metabolic by-products. See also  Biofuel  and  Biom,biomass,  Biomass Organic material excluding the material that is fossilised or embedded in geological forma
biofuel,"A fuel, generally in liquid form, produced from  biomass .  Biofuels  include bioethanol from sugarc",biomass,  Biomass Organic material excluding the material that is fossilised or embedded in geological forma
biofuel,"A fuel, generally in liquid form, produced from  biomass .  Biofuels  include bioethanol from sugarc",bioenergy,  Bioenergy Energy derived from any form of  biomass  or its metabolic by-products. See also  Biofue
biomass,Organic material excluding the material that is fossilised or embedded in geological formations.  Bi,biomass,  Biomass Organic material excluding the material that is fossilised or embedded in geological forma
biomass,Organic material excluding the material that is fossilised or embedded in geological formations.  Bi,bioenergy,  Bioenergy Energy derived from any form of  biomass  or its metabolic by-products. See also  Biofue
biomass,Organic material excluding the material that is fossilised or embedded in geological formations.  Bi,biofuel,"  Biofuel A fuel, generally in liquid form, produced from  biomass .  Biofuels  include bioethanol f"
biomes,"Global-scale zones, generally defined by the type of plant life that they support in response to ave",tundra,  Tundra A treeless  biome  characteristic of polar and alpine  regions .
biosphere__terrestrial_and_marine_,"The part of the Earth system comprising all  ecosystems  and living organisms, in the  atmosphere , ",atmosphere,"  Atmosphere The gaseous envelope surrounding the Earth, divided into five layers: the troposphere, "
biosphere__terrestrial_and_marine_,"The part of the Earth system comprising all  ecosystems  and living organisms, in the  atmosphere , ",land,"  Land The terrestrial portion of the  biosphere  that comprises the natural resources (soil, near-s"
biosphere__terrestrial_and_marine_,"The part of the Earth system comprising all  ecosystems  and living organisms, in the  atmosphere , ",soil_organic_matter,"  Soil organic matter The organic component of soil, comprising plant and animal residue at various "
blue_carbon,Biologically driven carbon  fluxes  and storage in marine systems that are amenable to management. C,blue_carbon,  Blue carbon Biologically driven carbon  fluxes  and storage in marine systems that are amenable to
blue_carbon,Biologically driven carbon  fluxes  and storage in marine systems that are amenable to management. C,atmosphere,"  Atmosphere The gaseous envelope surrounding the Earth, divided into five layers: the troposphere, "
blue_carbon,Biologically driven carbon  fluxes  and storage in marine systems that are amenable to management. C,blue_carbon,  Blue carbon Biologically driven carbon  fluxes  and storage in marine systems that are amenable to
blue_carbon,Biologically driven carbon  fluxes  and storage in marine systems that are amenable to management. C,ocean,"  Ocean The interconnected body of saline water that covers 71% of the Earth’s surface, contains 97%"
blue_carbon,Biologically driven carbon  fluxes  and storage in marine systems that are amenable to management. C,ecosystem_services,  Ecosystem services Ecological processes or functions having monetary or non-monetary value to indi
blue_carbon,Biologically driven carbon  fluxes  and storage in marine systems that are amenable to management. C,sequestration,  Sequestration The process of storing carbon in a carbon pool. See also  Sink .
blue_infrastructure,See  Infrastructure .,infrastructure,  Infrastructure The designed and built set of physical systems and corresponding institutional arra
burden,The total mass of a gaseous substance of concern in the  atmosphere .,atmosphere,"  Atmosphere The gaseous envelope surrounding the Earth, divided into five layers: the troposphere, "
calcification,"The process of biologically precipitating calcium carbonate minerals to create organism shells, skel",calcification,  Calcification The process of biologically precipitating calcium carbonate minerals to create organ
carbon_dioxide__co,"2 ) A naturally occurring gas, CO 2 is also a by-product of burning  fossil fuels  (such as oil, gas",fossil_fuels,"  Fossil fuels Carbon-based fuels from fossil hydrocarbon deposits, including coal, oil and natural "
carbon_dioxide__co,"2 ) A naturally occurring gas, CO 2 is also a by-product of burning  fossil fuels  (such as oil, gas",biomass,  Biomass Organic material excluding the material that is fossilised or embedded in geological forma
carbon_dioxide__co,"2 ) A naturally occurring gas, CO 2 is also a by-product of burning  fossil fuels  (such as oil, gas",global_warming,  Global warming Global warming  refers to the increase in global surface temperature relative to a 
carbon_dioxide__co,2 ) fertilisation The increase of plant  photosynthesis  and  water-use efficiency  in response to i,photosynthesis,"  Photosynthesis The production of carbohydrates in plants, algae and some bacteria using the energy"
carbon_dioxide__co,2 ) fertilisation The increase of plant  photosynthesis  and  water-use efficiency  in response to i,water-use_efficiency,  Water-use efficiency Carbon gain by  photosynthesis  per unit of water lost by  evapotranspiration
carbon_dioxide__co,2 ) fertilisation The increase of plant  photosynthesis  and  water-use efficiency  in response to i,carbon_dioxide__co,"  Carbon dioxide (CO 2 ) A naturally occurring gas, CO 2 is also a by-product of burning  fossil fue"
carbon_dioxide__co,2 ) fertilisation The increase of plant  photosynthesis  and  water-use efficiency  in response to i,carbon_dioxide__co,  Carbon dioxide (CO 2 ) fertilisation The increase of plant  photosynthesis  and  water-use efficie
carbon_dioxide__co,2 ) fertilisation The increase of plant  photosynthesis  and  water-use efficiency  in response to i,photosynthesis,"  Photosynthesis The production of carbohydrates in plants, algae and some bacteria using the energy"
carbon_dioxide__co,2 ) fertilisation The increase of plant  photosynthesis  and  water-use efficiency  in response to i,land,"  Land The terrestrial portion of the  biosphere  that comprises the natural resources (soil, near-s"
carbon_dioxide_removal__cdr_,Anthropogenic  activities removing  carbon dioxide (CO 2 )  from the  atmosphere  and durably storin,anthropogenic,  Anthropogenic Resulting from or produced by human activities.
carbon_dioxide_removal__cdr_,Anthropogenic  activities removing  carbon dioxide (CO 2 )  from the  atmosphere  and durably storin,carbon_dioxide__co,"  Carbon dioxide (CO 2 ) A naturally occurring gas, CO 2 is also a by-product of burning  fossil fue"
carbon_dioxide_removal__cdr_,Anthropogenic  activities removing  carbon dioxide (CO 2 )  from the  atmosphere  and durably storin,carbon_dioxide__co,  Carbon dioxide (CO 2 ) fertilisation The increase of plant  photosynthesis  and  water-use efficie
carbon_dioxide_removal__cdr_,Anthropogenic  activities removing  carbon dioxide (CO 2 )  from the  atmosphere  and durably storin,atmosphere,"  Atmosphere The gaseous envelope surrounding the Earth, divided into five layers: the troposphere, "
carbon_dioxide_removal__cdr_,Anthropogenic  activities removing  carbon dioxide (CO 2 )  from the  atmosphere  and durably storin,anthropogenic,  Anthropogenic Resulting from or produced by human activities.
cascading_impacts,Cascading impacts  from  extreme weather/climate events  occur when an extreme  hazard  generates a ,cascading_impacts,  Cascading impacts Cascading impacts  from  extreme weather/climate events  occur when an extreme  
cascading_impacts,Cascading impacts  from  extreme weather/climate events  occur when an extreme  hazard  generates a ,hazard,  Hazard The potential occurrence of a natural or human-induced physical event or trend that may cau
cascading_impacts,Cascading impacts  from  extreme weather/climate events  occur when an extreme  hazard  generates a ,cascading_impacts,  Cascading impacts Cascading impacts  from  extreme weather/climate events  occur when an extreme  
cascading_impacts,Cascading impacts  from  extreme weather/climate events  occur when an extreme  hazard  generates a ,hazard,  Hazard The potential occurrence of a natural or human-induced physical event or trend that may cau
cities,"Cities  are open systems, continually exchanging resources, products and services, waste, people, id",cities,"  Cities Cities  are open systems, continually exchanging resources, products and services, waste, p"
cities,"Cities  are open systems, continually exchanging resources, products and services, waste, people, id",cities,"  Cities Cities  are open systems, continually exchanging resources, products and services, waste, p"
cities,"Cities  are open systems, continually exchanging resources, products and services, waste, people, id",cities,"  Cities Cities  are open systems, continually exchanging resources, products and services, waste, p"
cities,"Cities  are open systems, continually exchanging resources, products and services, waste, people, id",cities,"  Cities Cities  are open systems, continually exchanging resources, products and services, waste, p"
cities,"Cities  are open systems, continually exchanging resources, products and services, waste, people, id",governance,"  Governance The structures, processes and actions through which private and public actors interact "
cities,"Cities  are open systems, continually exchanging resources, products and services, waste, people, id",urban,  Urban The categorisation of areas as “ urban ” by government statistical departments is generally 
cities,"Cities  are open systems, continually exchanging resources, products and services, waste, people, id",impacts,"  Impacts The consequences of realised  risks  on  natural  and  human systems , where  risks  resul"
cities,"Cities  are open systems, continually exchanging resources, products and services, waste, people, id",city_region,  City region The areal extent of an individual  city ’s material associations and economic or polit
cities,"Cities  are open systems, continually exchanging resources, products and services, waste, people, id",peri-urban_areas,  Peri-urban areas Dynamic transition zones that have intense interaction between rural and  urban  
cities,"Cities  are open systems, continually exchanging resources, products and services, waste, people, id",urban,  Urban The categorisation of areas as “ urban ” by government statistical departments is generally 
city_region,The areal extent of an individual  city ’s material associations and economic or political influence,city_region,  City region The areal extent of an individual  city ’s material associations and economic or polit
city_region,The areal extent of an individual  city ’s material associations and economic or political influence,land,"  Land The terrestrial portion of the  biosphere  that comprises the natural resources (soil, near-s"
city_region,The areal extent of an individual  city ’s material associations and economic or political influence,settlements,  Settlements Places of concentrated human habitation.  Settlements  can range from isolated rural v
city_region,The areal extent of an individual  city ’s material associations and economic or political influence,region,  Region A  land  and/or  ocean  area characterised by specific geographical and/or climatological f
city_region,The areal extent of an individual  city ’s material associations and economic or political influence,cities,"  Cities Cities  are open systems, continually exchanging resources, products and services, waste, p"
city_region,The areal extent of an individual  city ’s material associations and economic or political influence,urban,  Urban The categorisation of areas as “ urban ” by government statistical departments is generally 
city_region,The areal extent of an individual  city ’s material associations and economic or political influence,urban_systems,"  Urban systems Urban systems  refer to two interconnected systems-- first, the comprehensive collec"
climate,"In a narrow sense,  climate  is usually defined as the average weather -or more rigorously, as the s",climate,"  Climate In a narrow sense,  climate  is usually defined as the average weather -or more rigorously"
climate,"In a narrow sense,  climate  is usually defined as the average weather -or more rigorously, as the s",climate,"  Climate In a narrow sense,  climate  is usually defined as the average weather -or more rigorously"
climate,"In a narrow sense,  climate  is usually defined as the average weather -or more rigorously, as the s",climate_system,"  Climate system The global system consisting of five major components: the  atmosphere , the hydros"
climate_change,"A change in the state of the  climate  that can be identified (e.g., by using or longer.  Climate ch",climate,"  Climate In a narrow sense,  climate  is usually defined as the average weather -or more rigorously"
climate_change,"A change in the state of the  climate  that can be identified (e.g., by using or longer.  Climate ch",climate_change,"  Climate change A change in the state of the  climate  that can be identified (e.g., by using or lo"
climate_change,"A change in the state of the  climate  that can be identified (e.g., by using or longer.  Climate ch",anthropogenic,  Anthropogenic Resulting from or produced by human activities.
climate_change,"A change in the state of the  climate  that can be identified (e.g., by using or longer.  Climate ch",atmosphere,"  Atmosphere The gaseous envelope surrounding the Earth, divided into five layers: the troposphere, "
climate_change,"A change in the state of the  climate  that can be identified (e.g., by using or longer.  Climate ch",land_use,"  Land use The total of arrangements, activities and inputs applied to a parcel of  land . The term "
climate_change,"A change in the state of the  climate  that can be identified (e.g., by using or longer.  Climate ch",climate_change,"  Climate change A change in the state of the  climate  that can be identified (e.g., by using or lo"
climate_change,"A change in the state of the  climate  that can be identified (e.g., by using or longer.  Climate ch",climate_change,"  Climate change A change in the state of the  climate  that can be identified (e.g., by using or lo"
climate_change,"A change in the state of the  climate  that can be identified (e.g., by using or longer.  Climate ch",climate_variability,  Climate variability Deviations of some  climate  variables from a given mean state (including the 
climate_change,"A change in the state of the  climate  that can be identified (e.g., by using or longer.  Climate ch",climate_variability,  Climate variability Deviations of some  climate  variables from a given mean state (including the 
climate_change,"A change in the state of the  climate  that can be identified (e.g., by using or longer.  Climate ch",detection,  Detection Detection  of change is defined as the process of demonstrating that  climate  or a syst
climate_change,"A change in the state of the  climate  that can be identified (e.g., by using or longer.  Climate ch",attribution,  Attribution Attribution  is defined as the process of evaluating the relative contributions of mul
climate_change,"A change in the state of the  climate  that can be identified (e.g., by using or longer.  Climate ch",ocean_acidification__oa_,"  Ocean acidification (OA) A reduction in the  pH  of the  ocean , accompanied by other chemical cha"
climate_extreme__extreme_weather_or_climate_event_,The occurrence of a value of a weather or  climate  variable above (or below) a threshold value near,climate,"  Climate In a narrow sense,  climate  is usually defined as the average weather -or more rigorously"
climate_extreme__extreme_weather_or_climate_event_,The occurrence of a value of a weather or  climate  variable above (or below) a threshold value near,drought,  Drought An exceptional period of water shortage for existing  ecosystems  and the human population
climate_feedback,An interaction in which a perturbation in one  climate  quantity causes a change in a second and the,climate,"  Climate In a narrow sense,  climate  is usually defined as the average weather -or more rigorously"
climate_finance,There is no agreed definition of  climate finance . The term  climate finance  is applied to the fin,climate_finance,  Climate finance There is no agreed definition of  climate finance . The term  climate finance  is 
climate_finance,There is no agreed definition of  climate finance . The term  climate finance  is applied to the fin,climate_finance,  Climate finance There is no agreed definition of  climate finance . The term  climate finance  is 
climate_finance,There is no agreed definition of  climate finance . The term  climate finance  is applied to the fin,climate_change,"  Climate change A change in the state of the  climate  that can be identified (e.g., by using or lo"
climate_finance,There is no agreed definition of  climate finance . The term  climate finance  is applied to the fin,climate_change,"  Climate change A change in the state of the  climate  that can be identified (e.g., by using or lo"
climate_finance,There is no agreed definition of  climate finance . The term  climate finance  is applied to the fin,climate_finance,  Climate finance There is no agreed definition of  climate finance . The term  climate finance  is 
climate_finance,There is no agreed definition of  climate finance . The term  climate finance  is applied to the fin,resilience,"  Resilience The capacity of interconnected social, economic and ecological systems to cope with a h"
climate_finance,There is no agreed definition of  climate finance . The term  climate finance  is applied to the fin,impacts,"  Impacts The consequences of realised  risks  on  natural  and  human systems , where  risks  resul"
climate_finance,There is no agreed definition of  climate finance . The term  climate finance  is applied to the fin,climate_change,"  Climate change A change in the state of the  climate  that can be identified (e.g., by using or lo"
climate_governance,See  Governance .,governance,"  Governance The structures, processes and actions through which private and public actors interact "
climate_information,"Information about the past, current or future state of the  climate system  that is relevant for  mi",climate_system,"  Climate system The global system consisting of five major components: the  atmosphere , the hydros"
climate_model,"A qualitative or quantitative representation of the  climate system  based on the physical, chemical",climate_system,"  Climate system The global system consisting of five major components: the  atmosphere , the hydros"
climate_model,"A qualitative or quantitative representation of the  climate system  based on the physical, chemical",climate_system,"  Climate system The global system consisting of five major components: the  atmosphere , the hydros"
climate_model,"A qualitative or quantitative representation of the  climate system  based on the physical, chemical",models,  Models Structured imitations of a system’s attributes and mechanisms to mimic the appearance or fu
climate_model,"A qualitative or quantitative representation of the  climate system  based on the physical, chemical",models,  Models Structured imitations of a system’s attributes and mechanisms to mimic the appearance or fu
